Name	*Rune Name	complete	ladder	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Runeword25	Destruction	1		Previously Ladder Only	mele									VexLoBerJahKo	r26	r28	r30	r31	r18		dmg%		300	350	dmg-mag		100	180	hit-skill	Molten Boulder	9	25	hit-skill	Volcano	12	25	hit-skill	Firestorm	12	25	openwounds		20	20					0
Runeword26	Doom	1		110	mele									HelOhmUmLoCham	r15	r27	r22	r28	r32		dmg%		250	285	aura	Holy Freeze	12	12	swing2		45	45	openwounds		25	25	pierce-cold		30	30	allskills		2	2	hit-skill	Volcano	9	25	0
Runeword27	Dragon	1		Previously Ladder Only	tors	shld								SurLoSol	r29	r28	r12				ac		360	360	ac-miss		230	230	str/lvl	3			hit-skill	Hydra	12	30	hit-skill	Venom	8	15	aura	Holy Fire	14	14	all-stats		3	5	0
Runeword28	Dread																																																0
Runeword29	Dream	1		Previously Ladder Only	helm	shld								IoJahPul	r16	r31	r21				ac		150	220	gethit-skill	Confuse	10	15	pierce-ltng		20	20	res-all		15	25	balance3		20	30	aura	Holy Shock	15	15	mag%		50	50	0
Runeword30	Duress	1		110	tors									ShaelUmThul	r13	r22	r10				dmg-cold	50	37	133	dmg%		50	100	ac%		150	200	balance2		20	20	openwounds		33	33	deadly		15	15	stamdrain		-20	-20	0
Runeword31	Edge	1		Previously Ladder Only	miss									TirTalAmn	r03	r07	r11				dmg-demon		200	200	dmg-undead		200	200	swing2		35	35	openwounds		25	25	aura	Thorns	10	10	dmg%		100	100	cheap		10	10	0
Runeword32	Elation	1			helm									DolEthDol	r14	r05	r14				allskills		1	1	regen-mana		20	30	balance1		20	30	ac%		50	100	res-all		20	20									0
Runeword33	Enigma	1		110	tors									JahIthBer	r31	r06	r30				ac		750	775	heal-kill		14	14	move2		45	45	str/lvl	8			allskills		2	2	mag%/lvl	8			oskill	Teleport	1	1	0
Runeword34	Enlightenment	1		111	tors									PulRalSur	r21	r08	r12				hit-skill	Fire Ball	9	25	gethit-skill	Blaze	15	20	sor		2	2	addxp		10	10	regen-mana		100	100									0
Runeword35	Envy	1			tors									RalOrtTal	r08	r09	r07				oskill	Blink	1	1	cast1		15	20	swing1		15	20	res-all		10	10													0
Runeword36	Eternity	1		110	mele									AmnBerIstSolSur	r11	r30	r24	r12	r29		dmg%		280	320	indestruct		1	1	hit-skill	Decrepify	9	5	oskill	Raise Skeleton	5	5	oskill	Skeleton Mastery	5	5	regen		30	30	nofreeze		1	1	0
Runeword37	Exile	1		110	pala									VexOhmIstDol	r26	r27	r24	r14			block2		30	30	freeze		1	1	ac%		220	260	aura	Defiance	13	16	skilltab	10	2	2	hit-skill	Life Tap	15	5	rep-dur	25			0
Runeword38	Faith	1		"110, Previously Ladder Only"	miss									OhmJahLemEld	r27	r31	r20	r02			dmg%		230	280	att%		300	300	dmg-fire		150	200	res-all		25	25	aura	Fanaticism	10	15	hit-skill	Fist of the Heavens	10	20	allskills		2	2	0
Runeword39	Famine	1			axe	hamm								FalOhmOrtJah	r19	r27	r09	r31			dmg%		240	280	lifesteal		12	12	swing2		30	30	openwounds		25	25	dmg-mag		180	200	dmg-elem		50	200	ethereal		1	1	0
Runeword40	Flickering Flame	1	2	D2R Ladder 1	helm									NefPulVex	r04	r21	r26				fireskill		3	3	aura	Resist Fire	4	8	pierce-fire		10	15	mana		50	75	half-freeze		1	1	res-pois-len		50	50					0
Runeword41	Fortitude	1		Previously Ladder Only	weap	tors								ElSolDolLo	r01	r12	r14	r28			ac%		200	200	dmg%		200	300	cast3		25	25	gethit-skill	Shiver Armor	10	15	dmg-to-mana		12	12	hp/lvl		8	12	res-all		25	30	0
Runeword42	Fortune				helm	tors								IstIstLemLem	r24	r24	r20	r20			allskills		2	2	cast1		20	30	swing1		20	30	mag%		50	50	light		-2	-2									0
Runeword43	Amity																																																0
Runeword44	Fury	1		109	mele									JahGulEth	r31	r25	r05				dmg%		209	299	swing2		40	40	dmg/lvl	8			openwounds		50	50	lifesteal		6	6	deadly		25	25	skill	Frenzy	5	5	0
Runeword45	Gloom	1		110	tors									FalUmPul	r19	r22	r21				ac%		170	230	res-all		30	30	gethit-skill	Dim Vision	15	3	balance2		10	10	pierce-pois		15	15	light		-3	-3	half-freeze		1	1	0
Runeword46	Glory																																																0
Runeword47	Grief	1		Previously Ladder Only	swor	axe								EthTirLoMalRal	r05	r03	r28	r23	r08		dmg-dem/lvl	16			dmg		240	300	swing3		30	40	hit-skill	Venom	20	15	pierce-pois		20	25	ignore-ac		1	1	heal-kill		10	15	0
Runeword48	Hand of Justice	1		110	weap									SurChamAmnLo	r29	r32	r11	r28			swing2		33	33	dmg%		250	300	aura	Holy Fire	14	16	hit-skill	Blaze	15	30	death-skill	Meteor	100	48	ignore-ac		1	1	pierce-fire		20	20	0
Runeword49	Harmony	1		Previously Ladder Only	miss									TirIthSolKo	r03	r06	r12	r18			dmg%		200	250	dmg-elem		55	160	aura	Vigor	10	10	oskill	Valkyrie	5	10	regen-mana		30	30	light		1	1					0
Runeword50	Hatred																																																0
Runeword51	Heart of the Oak	1		110	staf	mace								KoVexPulThul	r18	r26	r21	r10			cast2		40	40	oskill	Oak Sage	10	10	mana%		15	15	allskills		3	3	regen		20	20	res-all		30	40	oskill	Raven	10	10	0
Runeword52	Heaven's Will																																																0
Runeword53	Holy Tears																																																0
Runeword54	Holy Thunder	1		109	weap									EthRalOrtTal	r05	r08	r09	r07			dmg%		100	133	dmg-ltng		20	100	dmg-max		10	15	res-ltng		50	50	res-ltng-max		5	5	skill	Holy Shock	3	3	pierce-ltng		10	10	0
Runeword55	Honor	1		109	weap									AmnElIthTirSol	r11	r01	r06	r03	r12		dmg%		150	200	regen		10	10	allskills		1	1	att		200	200	deadly		25	25	str		10	10					0
Runeword56	Revenge																																																0
Runeword57	Humility																																																0
Runeword58	Hunger																																																0
Runeword59	Ice	1		Previously Ladder Only	miss									AmnShaelJahLo	r11	r13	r31	r28			dmg%		220	280	aura	Holy Freeze	10	15	extra-cold		25	30	hit-skill	Frost Nova	13	30	hit-skill	Blizzard	13	30	pierce-cold		20	20	gold%/lvl	32			0
Runeword60	Infinity	1		Previously Ladder Only	pole	spea								BerMalBerIst	r30	r23	r30	r24			dmg%		255	325	move3		35	35	vit/lvl	4			aura	Conviction	10	15	hit-skill	Chain Lightning	15	20	pierce-ltng		45	55	oskill	Cyclone Armor	10	10	0
Runeword61	Innocence																																																0
Runeword62	Insight	1		Previously Ladder Only	pole	staf	miss							RalTirTalSol	r08	r03	r07	r12			dmg%		200	260	att%		180	250	mag%		50	50	deadly		25	25	swing1		35	35	aura	Meditation	15	20	addxp		15	15	0
Runeword63	Jealousy																																																0
Runeword64	Judgment																																																0
Runeword65	King's Grace	1		109	mele									AmnRalThul	r11	r08	r10				dmg%		100	150	att		150	150	dmg-demon		100	100	dmg-undead		100	100	att-demon		100	100	att-undead		100	100	gold%		50	50	0
Runeword66	Kingslayer	1		110	mele									MalUmGulFal	r23	r22	r25	r19			swing2		30	30	dmg%		230	270	reduce-ac		25	25	deadly		25	25	openwounds		25	25	oskill	Vengeance	5	5	gold%		100	100	0
Runeword67	Knight's Vigil																																																0
Runeword68	Knowledge	1			helm									ElTir	r01	r03					addxp		2	4	light		1	1	balance1		10	10	ac%		50	50	lifesteal		2	2									0
Runeword69	Last Wish	1		Previously Ladder Only	mele									JahMalJahSurJahBer	r31	r23	r31	r29	r31	r30	dmg%		300	350	hit-skill	Charged Bolt	20	40	hit-skill	Life Tap	10	18	gethit-skill	Fade	9	11	deadly		50	50	mag%/lvl	16			aura	Might	10	15	0
Runeword70	Law																																																0
Runeword71	Lawbringer	1		Previously Ladder Only	mele									AmnLemKo	r11	r20	r18				dmg-cold		130	180	dmg-fire		150	210	aura	Sanctuary	10	15	hit-skill	Attract	9	10	ac-miss		200	250	rip		1	1	reduce-ac		50	50	0
Runeword72	Leaf	1		109	staf									TirRal	r03	r08					fireskill		3	3	res-fire		33	33	skill	Fire Bolt	3	3	skill	Blaze	3	3	skill	Warmth	3	3	cast1		25	30					0
Runeword73	Lightning	1			staf									TirOrt	r03	r09					lightningskill		3	3	res-ltng		33	33	skill	Charged Bolt	3	3	skill	Static Field	3	3	skill	Teleport	3	3	cast1		25	30					0
Runeword74	Lionheart	1		109	tors									HelLumFal	r15	r17	r19				str		15	15	vit		20	20	dex		15	15	dmg%		50	100	hp		50	50	res-all		30	30					0
Runeword75	Lore	1		109	helm									OrtSol	r09	r12					enr		10	10	allskills		1	1	light		1	1	mana-kill		2	2	addxp		3	5									0
Runeword76	Love	1			tors									UmBerUmZod	r22	r30	r22	r33			aura	Salvation	3	5	cast1		30	50	swing1		30	50	balance1		30	50													0
Runeword77	Loyalty																																																0
Runeword78	Lust	1			tors									UmZodUmBer	r22	r33	r22	r30			aura	Conviction	3	5	cast1		30	50	swing1		30	50	balance1		30	50													0
Runeword79	Madness	1			shld									HelDolShael	r15	r14	r13				allskills		1	2	cast1		10	20	swing1		20	30	mana		1	100	mag%		50	50	res-all		20	20					0
Runeword81	Malice	1		109	mele									IthElEth	r06	r01	r05				openwounds		100	100	dmg-ac		-100	-100	noheal		1	1	dmg%		100	100	light		-2	-2	regen		-10	-10					0
Runeword82	Melody	1		109	miss									ShaelKoNef	r13	r18	r04				dmg%		130	166	skilltab	0	2	3	skill	Valkyrie	3	3	skill	Pierce	3	3	dmg-min		10	20	dmg-max		30	50	dmg-undead		300	300	0
Runeword83	Memory	1		109	staf									LumIoSolEth	r17	r16	r12	r05			mana%		30	50	red-mag		7	7	cast2		30	50	sor		3	3	addxp		5	5									0
Runeword84	Mist	1	2	D2R Ladder 1	weap									ChamShaelGulThulIth	r32	r13	r25	r10	r06		allskills		3	3	dmg%		280	330	aura	Concentration	8	12	vit		24	24	res-all		40	40	ac		500	500					0
Runeword85	Morning																																																0
Runeword86	Mystery																																																0
Runeword87	Myth	1		111	tors									HelAmnNef	r15	r11	r04				hit-skill	Taunt	10	1	dmg%		50	50	bar		2	2	regen		-10	-10	lifesteal		5	5	move1		15	15	swing1		15	15	0
Runeword88	Nadir	1		109	helm									NefTir	r04	r03					ac%		100	100	light		-1	-1	gold%		-25	-25	str		10	10	move1		15	15	gethit-skill	Dim Vision	5	1					0
Runeword89	Nature's Kingdom																																																0
Runeword90	Night																																																0
Runeword91	Oath	1		Previously Ladder Only	mele									ShaelPulMalLum	r13	r21	r23	r17			dmg%		210	250	swing1		30	30	hit-skill	Bone Spirit	15	25	oskill	IronGolem	5	5	oskill	Heart of Wolverine	5	5	abs-mag		10	15	indestruct		1	1	0
Runeword92	Obedience	1		Previously Ladder Only	weap									HelKoThulEthFal	r15	r18	r10	r05	r19		dmg%		200	250	deadly		25	25	hit-skill	enchant	10	30	pierce-fire		25	25	ac		200	300	balance3		40	40	res-all		20	30	0
Runeword93	Oblivion																																																0
Runeword94	Obsession	1	2	D2R Ladder 1	staf									ZodIstLemLumIoNef	r33	r24	r20	r17	r16	r04	allskills		3	4	gethit-skill	Lower Resist	15	10	cast3		50	70	balance3		50	60	res-all		60	70	regen-mana		50	50	mag%		100	100	0
Runeword95	Passion	1		110	weap									DolOrtEldLem	r14	r09	r02	r20			dmg%		160	210	oskill	Zeal	1	1	att		50	100	oskill	Berserk	1	1	swing2		25	25									0
Runeword96	Patience																																																0
Runeword97	Pattern	1	2	D2R Ladder 1	h2h									TalOrtThul	r07	r09	r10				att%		50	50	dmg%		100	120	dmg-fire		12	32	res-all		15	15	str		6	6	dex		6	6	block2		30	30	0
Runeword98	Peace	1		111	tors									ShaelThulAmn	r13	r10	r11				skill	Valkyrie	2	3	gethit-skill	Slow Missiles	10	10	ama		2	2	dmg%		50	50													0
Runeword99	Voice of Reason	1		Previously Ladder Only	mele									LemKoElEld	r20	r18	r01	r02			dmg-demon		250	250	dmg-undead		250	250	dmg-cold		100	220	pierce-cold		20	25	hit-skill	Ice Blast	15	20	hit-skill	Frozen Orb	11	20	nofreeze		1	1	0
Runeword100	Penitence																																																0
Runeword101	Peril																																																0
Runeword102	Pestilence																																																0
Runeword103	Phoenix	1		Previously Ladder Only	weap	shld								VexVexLoJah	r26	r26	r28	r31			dmg%		200	300	ac-miss		350	400	hit-skill	Firestorm	15	30	hit-skill	Blaze	15	30	pierce-fire		25	25	aura	Redemption	10	15	abs-fire		10	10	0
Runeword104	Piety																																																0
Runeword105	Pillar of Faith																																																0
Runeword106	Plague	1	2	D2R Ladder 1	mele									ChamShaelUm	r32	r13	r22				dmg%		220	320	gethit-skill	Lower Resist	20	12	hit-skill	Poison Nova	12	25	pierce-pois		20	25	deadly		25	25	aura	Cleansing	10	15	allskills		1	2	0
Runeword107	Praise																																																0
Runeword108	Prayer																																																0
Runeword109	Pride	1		Previously Ladder Only	pole	spea								ChamSurIoLo	r32	r29	r16	r28			dmg-dem/lvl	8			dmg-ltng		50	400	att%		260	300	aura	Concentration	16	20	gethit-skill	Fire Wall	15	30	regen		-20	-20	gold%/lvl	16			0
Runeword110	Principle	1		111	tors									RalGulEld	r08	r25	r02				hit-skill	Holy Bolt	25	15	pal		2	2	hp		100	150	dmg-undead		100	100	dmg%		50	50									0
Runeword111	Prowess in Battle																																																0
Runeword112	Prudence	1		110	tors									MalTir	r23	r03					ac%		140	170	red-mag		10	10	red-dmg		5	5	res-all		25	35	balance2		25	25	rep-dur	25			move1		15	15	0
Runeword113	Punishment																																																0
Runeword114	Purity																																																0
Runeword115	Question																																																0
Runeword116	Radiance	1		109	helm									NefSolIth	r04	r12	r06				light		2	2	all-stats		5	10	ac%		100	100	aura	Sanctuary	1	1													0
Runeword117	Rain	1		111	tors									OrtMalIth	r09	r23	r06				hit-skill	Twister	9	20	gethit-skill	Cyclone Armor	11	20	dru		2	2	mana		100	150	swing1		20	20	cast1		20	20					0
Runeword118	Reason																																																0
Runeword119	Red																																																0
Runeword120	Rhyme	1		109	shld									ShaelEth	r13	r05					block2		20	20	block		20	20	res-all		25	25	nofreeze		1	1	gold%		50	50	mag%		50	50					0
Runeword121	Rift	1		Previously Ladder Only	pole	spea								HelKoLemGul	r15	r18	r20	r25			dmg-mag		160	250	dmg-fire		60	180	dmg-to-mana		38	38	hit-skill	Tornado	11	25	hit-skill	Twister	15	25	all-stats		5	10	dmg%		200	245	0
Runeword122	Sanctuary	1		110	shld									KoKoMal	r18	r18	r23				block		30	30	block2		30	30	ac%		150	200	oskill	Sanctuary	5	5	res-all		50	70	balance2		30	30					0
Runeword123	Serendipity																																																0
Runeword124	Shadow																																																0
Runeword125	Shadow of Doubt																																																0
Runeword126	Silence	1		109	weap									DolEldHelIstTirVex	r14	r02	r15	r24	r03	r26	manasteal		4	4	dmg%		200	230	swing2		20	20	res-all		25	25	allskills		2	2	balance2		20	20	dmg-max		25	100	0
Runeword127	Siren's Song																																																0
Runeword128	Smoke	1		109	tors									NefLum	r04	r17					ac-miss		250	250	ac%		100	100	res-all		50	50	balance2		20	20	light		-2	-2	gethit-skill	Dim Vision	5	10					0
Runeword129	Sorrow																																																0
Runeword130	Spirit	1		Previously Ladder Only	swor	shld								TalThulOrtAmn	r07	r10	r09	r11			balance3		15	20	mana		50	75	ac-miss		250	250	vit		22	22	cast3		20	30	abs-mag		3	8	allskills		2	2	0
Runeword131	Splendor	1		110	shld									EthLum	r05	r17					light		1	1	gold%		100	100	mag%		50	50	ac%		120	150	block2		20	20	cast2		20	20	allskills		1	2	0
Runeword132	Starlight																																																0
Runeword133	Stealth	1		109	tors									TalEth	r07	r05					red-mag		3	3	dex		6	6	stam		15	15	move2		25	25	cast2		25	25	balance2		25	25					0
Runeword134	Steel	1		109	mele									TirEl	r03	r01					swing2		25	25	dmg-min		5	15	dmg-max		10	20	openwounds		25	25	dmg%		50	100									0
Runeword135	Still Water																																																0
Runeword136	Sting																																																0
Runeword137	Stone	1		110	tors									ShaelUmPulLum	r13	r22	r21	r17			ac%		220	260	oskill	Clay Golem	5	5	ac-miss		300	300	hit-skill	Decrepify	9	5	str		16	16	vit		16	16	balance2		40	40	0
Runeword138	Storm																																																0
Runeword139	Strength	1		109	mele									AmnTir	r11	r03					str/lvl	16			dmg%		100	150	vit		10	10	deadly		15	15													0
Runeword140	Tempest																																																0
Runeword141	Temptation																																																0
Runeword142	Terror																																																0
Runeword143	Thirst																																																0
Runeword144	Thought																																																0
Runeword145	Thunder																																																0
Runeword146	Time	1			orb									Tir																																			0
Runeword147	Tradition																																																0
Runeword148	Treachery	1		111	tors									ShaelThulLem	r13	r10	r20				hit-skill	Venom	15	20	gethit-skill	Fade	9	10	ass		2	2	swing2		45	45	dmg%		50	50									0
Runeword149	Trust																																																0
Runeword150	Truth																																																0
Runeword151	Unbending Will	1	2	D2R Ladder 1	mele									FalIoIthEldElHel	r19	r16	r06	r02	r01	r15	skilltab	12	2	3	hit-skill	Taunt	10	20	swing2		20	30	dmg%		200	244	red-dmg		8	8	lifesteal		8	10					0
Runeword152	Valor																																																0
Runeword153	Vengeance																																																0
Runeword154	Venom	1		109	weap									TalDolMal	r07	r14	r23				dmg-pois	100	700	700	ignore-ac		1	1	manasteal		7	7	pierce-pois		10	10	oskill	Venom	5	5									0
Runeword155	Victory																																																0
Runeword156	Voice																																																0
Runeword157	Void																																																0
Runeword158	War																																																0
Runeword159	Water	1			staf									TirThul	r03	r10					coldskill		3	3	res-cold		33	33	skill	Blizzard	3	3	skill	Shiver Armor	3	3	skill	Glacial Spike	3	3	cast1		25	30					0
Runeword160	Wealth	1		109	tors									LmKoTir	r20	r18	r03				gold%		250	250	mag%		200	200	move1		-15	-15	cast1		-15	-15	swing1		-15	-15									0
Runeword161	Whisper																																																0
Runeword162	White	1		109	wand									DolIo	r14	r16					skilltab	7	2	2	red-mag		5	5	cast2		20	20	mana		50	50	skill	Bone Armor	3	3	skill	Bone Spear	2	2	skill	Skeleton Mastery	4	4	0
Runeword163	Wind	1		110	mele									SurEl	r29	r01					dmg%		230	270	swing2		40	40	move2		20	20	reduce-ac		50	50	hit-skill	Tornado	10	30	balance2		15	15					0
Runeword164	Wings of Hope																																																0
Runeword165	Wisdom	1	2	D2R Ladder 1	helm									PulIthEld	r21	r06	r02				pierce		25	25	manasteal		4	8	att		50	50	mana-kill		5	5	nofreeze		1	1	enr		10	10	addxp		5	5	0
Runeword166	Woe																																																0
Runeword167	Wonder																																																0
Runeword168	Wrath	1		Previously Ladder Only	miss									PulLumBerMal	r21	r17	r30	r23			dmg-demon		100	100	dmg-undead		200	200	dmg-ltng		50	350	dmg-mag		100	250	hit-skill	Life Tap	5	10	hit-skill	Decrepify	15	1	dmg%		250	290	0
Runeword169	Youth																																																0
Runeword170	Zephyr	1		109	miss									OrtEth	r09	r05					move2		25	25	swing2		25	25	dmg%		100	120	att		66	66	hit-skill	Twister	8	10									0
Runeword171	Hustle (armor)	1		D2R Ladder 3	tors									ShaelKoEld	r13	r18	r02				move2		65	65	stamdrain		35	35	swing2		40	40	res-all		25	25	oskill	Evade	6	6									0
Runeword172	Hustle (weapon)	1		D2R Ladder 3	weap									ShaelKoEld	r13	r18	r02				hit-skill	Quickness	9	5	swing2		10	10	dmg%		180	200	aura	Fanaticism	2	3													0
Runeword173	Mosaic	1		D2R Ladder 3	h2h									MalGulAmn	r23	r25	r11				ass		2	2	swing2		20	20	dmg%		200	250	extra-fire		10	15	extra-cold		10	15	extra-ltng		10	15					0
Runeword174	Metamorphosis	1		D2R Ladder 3	helm									IoChamFal	r16	r32	r19				dru		2	2	dmg%		100	100	skilltab	16	3	3	ac%		150	150	res-all		30	30									0
Runeword175	Ground	1		D2R Ladder 3	helm									ShaelIoOrt	r13	r16	r09				hp%		5	10	ac%		75	100	res-ltng		10	30	abs-ltng%		10	15	allskills		1	1									0
Runeword176	Temper	1		D2R Ladder 3	helm									ShaelIoRal	r13	r16	r08				hp%		5	10	ac%		75	100	res-fire		10	30	abs-fire%		10	15	allskills		1	1									0
Runeword177	Hearth	1		D2R Ladder 3	helm									ShaelIoThul	r13	r16	r10				hp%		5	10	ac%		75	100	res-cold		10	30	abs-cold%		10	15	nofreeze		1	1	allskills		1	1					0
Runeword178	Cure	1		D2R Ladder 3	helm									ShaelIoTal	r13	r16	r07				hp%		5	10	ac%		75	100	res-pois		10	30	res-pois-len		50	50	aura	Cleansing	1	1	allskills		1	1					0
Runeword179	Bulwark	1		D2R Ladder 3	helm									ShaelIoSol	r13	r16	r12				hp%		5	10	ac%		75	100	red-dmg%		10	15	regen		30	30	lifesteal		4	6	allskills		1	1					0
Runeword72	Leaf (orb)	1			orb									TirRal	r03	r08					fireskill		2	2	cast1		10	15	res-fire		10	15	skill	Fire Bolt	2	2	skill	Blaze	1	1	skill	Warmth	1	1					0
Runeword73	Lightning (orb)	1			orb									TirOrt	r03	r09					lightningskill		2	2	cast1		10	15	res-ltng		10	15	skill	Charged Bolt	2	2	skill	Static Field	1	1	skill	Teleport	1	1					0
Runeword159	Water (orb)	1			orb									TirThul	r03	r10					coldskill		2	2	cast1		10	15	res-cold		10	15	skill	Blizzard	2	2	skill	Shiver Armor	1	1	skill	Glacial Spike	1	1					0
