index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Isenhart's Horns	16	Isenhart's Armory	fhl	Full Helm	7	1	8	lgld	lgld						5	2500	2	dex		10	10	red-dmg		2	2	dmg%		10	10																									res-all		10	10					dmg%		10	10																														0
Vidala's Barb	17	Vidala's Rig	lbb	Long Battle Bow	7	12	14	blac	blac						5	2500	2	ltng-min		1	5	ltng-max		20	30	swing1		10	15																									att/lvl	16							dmg-ltng/lvl		8	8																														0
Vidala's Fetlock	18	Vidala's Rig	tbt	Light Plated Boots	7	12	14	blac	blac						5	2500	2	stam		150	150	move3		30	30	dex		10	10																									res-all		10	10					move1		10	10																														0
Vidala's Ambush	19	Vidala's Rig	lea	Leather Armor	7	12	14	blac	blac						5	2500	2	ac		50	50	dex		10	15	openwounds		15	15																									res-fire		24	24					ac/lvl	20																																0
Vidala's Snare	20	Vidala's Rig	amu	Amulet	7	12	14	blac	blac						5	2500	2	hp		15	15	res-cold		20	20	freeze		1	1	extra-cold		5	5																					mag%		50	50					gold%		50	50																														0
Milabrega's Orb	21	Milabrega's Regalia	kit	Kite Shield	7	12	17	dblu	dblu						5	2500	2	mag%		30	30	ac		30	30	block1		10	10																									hp		50	50					ac%		50	50																														0
Milabrega's Rod	22	Milabrega's Regalia	wsp	War Scepter	7	12	17	dblu	dblu						5	2500	2	pal		1	1	dmg%		50	50	light		1	1																									light		2	2					pal		1	1																														0
Milabrega's Diadem	23	Milabrega's Regalia	crn	Crown	7	12	17	dblu	dblu						5	2500	2	hp		15	15	mana		15	15	cast1		10	10																									res-cold		40	40					swing1		10	10																														0
Milabrega's Robe	24	Milabrega's Regalia	aar	Ancient Armor	7	12	17	dblu	dblu						5	2500	2	thorns		15	15	red-dmg		2	2	res-all		10	10																									ac%		100	100																																						0
Cathan's Rule	25	Cathan's Traps	bst	Battle Staff	7	1	11	dgrn	dgrn						5	2500	2	fireskill		1	1	dmg-fire		10	20	cast1		10	10	addxp		5	5																					mana		50	50					res-all		10	10																														0
Cathan's Mesh	26	Cathan's Traps	chn	Chain Mail	7	1	11	dgrn	dgrn						5	2500	2	ac		25	25	ease		-50	-50	move1		10	10																									thorns		25	25					res-fire		30	30																														0
Cathan's Visage	27	Cathan's Traps	msk	Mask	7	1	11	dgrn	dgrn						5	2500	2	mana		20	20	res-cold		25	25	mag%		20	20																									ac/lvl	16							fireskill		1	1																														0
Cathan's Sigil	28	Cathan's Traps	amu	Amulet	7	1	11	dgrn	dgrn						5	2500	2	balance1		15	15	light-thorns		25	25	extra-fire		5	5																									att		50	50					mag%		25	25																														0
Cathan's Seal	29	Cathan's Traps	rin	Ring	7	1	11	dgrn	dgrn						5	2500	2	lifesteal		6	6	cast1		5	10	swing1		5	10																									str		10	10					enr		10	10																														0
Tancred's Crowbill	30	Tancred's Battlegear	mpi	Military Pick	7	12	20	dgld	dgld						5	2500	2	att		75	75	dmg%		100	100	dmg/lvl	4																											mana		20	20					swing2		20	20																														0
Tancred's Spine	31	Tancred's Battlegear	ful	Full Plate Mail	7	12	20	dgld	dgld						5	2500	2	hp		40	40	str		15	15	dmg%		10	10																									ac/lvl	16																																								0
Tancred's Hobnails	32	Tancred's Battlegear	lbt	Boots	7	12	20	dgld	dgld						5	2500	2	regen-stam		25	25	dex		10	10	move1		10	10																									move3		30	30					str		10	10																														0
Tancred's Weird	33	Tancred's Battlegear	amu	Amulet	7	12	20	dgld	dgld						5	2500	2	red-dmg		2	2	red-mag		1	1	red-dmg%		5	5	all-stats		1	10																					mag%		100	100					att		60	60																														0
Tancred's Skull	34	Tancred's Battlegear	bhm	Bone Helm	7	12	20	dgld	dgld						5	2500	2	dmg%		20	20	att		50	50	swing1		10	10																									res-all		10	10																																						0
Sigon's Gage	35	Sigon's Complete Steel	hgl	Gauntlets	7	1	6	whit	whit						5	2500	2	str		10	10	att		20	20																													swing3		30	30																																						0
Sigon's Visor	36	Sigon's Complete Steel	ghm	Great Helm	7	1	6	whit	whit						5	2500	2	mana		30	30	ac		25	25	hp		30	30																									att/lvl	16																																								0
Sigon's Shelter	37	Sigon's Complete Steel	gth	Gothic Plate	7	1	6	whit	whit						5	2500	2	ac%		50	50	res-ltng		30	30																													thorns		50	50																																						0
Sigon's Sabot	38	Sigon's Complete Steel	hbt	Greaves	7	1	6	whit	whit						5	2500	2	move2		20	20	res-cold		40	40																													att		50	50					mag%		50	50																														0
Sigon's Wrap	39	Sigon's Complete Steel	hbl	Plated Belt	7	1	6	whit	whit						5	2500	2	res-fire		20	20	hp		20	20																													ac/lvl	16							mag%		25	25																														0
Sigon's Guard	40	Sigon's Complete Steel	tow	Tower Shield	7	1	6	whit	whit						5	2500	2	allskills		1	1	block		20	20																																																																						0
Infernal Cranium	41	Infernal Tools	cap	Cap	7	1	5	lyel	lyel						5	2500	2	res-all		10	10	dmg-to-mana		20	20	res-fire		15	15																									ac/lvl	16																																								0
Infernal Torch	42	Infernal Tools	gwn	Grim Wand	7	1	5	lyel	lyel						5	2500	2	dmg-min		8	8	nec		1	1	cast1		10	10																									att/lvl	20																																								0
Infernal Sign	43	Infernal Tools	tbl	Heavy Belt	7	1	5	lyel	lyel						5	2500	2	ac		25	25	hp		20	20	cast1		10	10																									res-pois		25	25					half-freeze		1	1																														0
Berserker's Headgear	44	Berserker's Garb	hlm	Helm	7	1	3	dred	dred						5	2500	2	ac		-10	-10	res-fire		30	30	dmg%		25	25	light		-1	-1																					att/lvl	16																																								0
Berserker's Hauberk	45	Berserker's Garb	spl	Splint Mail	7	1	3	dred	dred						5	2500	2	red-mag		3	3	bar		1	1	red-dmg		3	3																									ac/lvl	24																																								0
Berserker's Hatchet	46	Berserker's Garb	2ax	Double Axe	7	1	3	dred	dred						5	2500	2	att		50	50	manasteal		5	5	dmg/lvl	8																											dmg%		50	50					dmg/lvl	8																																0
Death's Hand	47	Death's Disguise	lgl	Leather Gloves	7	1	6	lred	lred						5	2500	2	res-pois		50	50	res-pois-len		50	50	deadly		15	15																									swing3		30	30																																						0
Death's Guard	48	Death's Disguise	lbl	Sash	7	1	6	lred	lred						5	2500	2	ac		25	25	nofreeze		1	1	res-pois		15	15																									res-all		15	15																																						0
Death's Touch	49	Death's Disguise	wsd	War Sword	7	1	6	lred	lred						5	2500	2	dmg%		50	50	lifesteal		4	4	heal-kill		5	5	dmg-pois	100	100	100																					dmg-cold	75	25	75																																						0
Angelic Sickle	50	Angelical Raiment	sbr	Sabre	7	1	12	lgry	lgry						5	2500	2	att		75	75	dmg-undead		250	250	dmg-norm		5	10																									dmg%		100	100					swing3		30	30																														0
Angelic Mantle	51	Angelical Raiment	rng	Ring Mail	7	1	12	lgry	lgry						5	2500	2	red-dmg		3	3	ac%		50	50	light		1	1																									ac		150	150					res-fire		50	50																														0
Angelic Halo	52	Angelical Raiment	rin	Ring	3	1	12	lgry	lgry						5	2500	2	regen		25	25	hp		50	50	light		1	1																									att/lvl	24							mag%		50	50																														0
Angelic Wings	53	Angelical Raiment	amu	Amulet	7	1	12	lgry	lgry						5	2500	2	light		1	1	dmg-to-mana		20	20	move1		15	15	balance1		15	15																					hp		75	75					allskills		2	2																														0
Arctic Horn	54	Arctic Gear	swb	Short War Bow	7	1	2	lgld	lgld						5	2500	2	att		25	25	dmg%		100	100																													att/lvl	16							dmg-cold	50	20	50																														0
Arctic Furs	55	Arctic Gear	qui	Quilted Armor	7	1	2	lgld	lgld						5	2500	2	ac%		275	325	res-all		10	10	res-cold		25	25																									ac/lvl	24							res-cold		25	25																														0
Arctic Binding	56	Arctic Gear	vbl	Light Belt	7	1	2	lgld	lgld						5	2500	2	res-cold		40	40	ac		30	30	dmg-cold	25	5	10																									mag%		50	50					res-cold		20	20																														0
Arctic Mitts	57	Arctic Gear	tgl	Light Gauntlets	7	1	2	lgld	lgld						5	2500	2	hp		20	20	swing1		10	10	extra-cold		5	5																									att		50	50					dex		10	10																														0
Arcanna's Sign	58	Arcanna's Tricks	amu	Amulet	1	12	15	blac	blac						5	2500	2	mana		25	25	regen-mana		30	30	mana-kill		4	4	cast1		10	10																					mag%		50	50					res-fire		25	25																														0
Arcanna's Deathwand	59	Arcanna's Tricks	wst	War Staff	7	12	15	blac	blac						5	2500	2	sor		1	1	deadly		25	25	dmg-norm		10	20																									mana		50	50					regen-mana		13	13																														0
Arcanna's Head	60	Arcanna's Tricks	skp	Skull Cap	7	12	15	blac	blac						5	2500	2	regen		12	12	thorns		20	20	cast1		10	10																									ac/lvl	24							res-ltng		25	25																														0
Arcanna's Flesh	61	Arcanna's Tricks	ltp	Light Plate	7	12	15	blac	blac						5	2500	2	light		1	1	red-dmg		3	3	hp		50	50																									ac		100	100					enr		10	10																														0
Expansion																																																																																															0
Natalya's Totem	62	Natalya's Odium	xh9	Grim Helm	7	22	59	dgry	dgry						5	5000	2	ac		135	175	dex		20	30	str		10	20	res-all		10	20	red-mag		3	3																																																										0
Natalya's Mark	63	Natalya's Odium	7qr	Scissors Suwayyah	7	22	79	dgry	dgry						5	5000	2	swing3		40	40	dmg%		300	350	ignore-ac		1	1	dmg-cold	100	50	80	dmg-fire		50	100	dmg-undead		200	200	dmg-demon		200	200									dmg-min		25	25					dmg-max		50	50																														0
Natalya's Shadow	64	Natalya's Odium	ucl	Loricated Mail	7	22	73	dgry	dgry						5	5000	2	ac		150	225	hp/lvl	8			skilltab	19	2	3	res-pois-len		50	50	res-pois		50	50	sock		2	4	extra_shadow_masters		1	1									extra_shadow_masters		1	1					extra_shadow_masters		1	1																														0
Natalya's Soul	65	Natalya's Odium	xmb	Mesh Boots	7	22	25	dgry	dgry						5	5000	2	ac		75	125	move3		40	40	regen-stam/lvl	2			dur		50	50	res-cold		15	25	res-ltng		15	25													res-all		10	10					res-all		10	10																														0
Aldur's Stony Gaze	66	Aldur's Watchtower	dr8	Hunter's Guise	7	29	36	oran	oran						5	5000	2	ac		100	150	regen-mana		25	25	light		1	1	balance3		25	25	res-cold		40	50	sock		2	2													enr		15	15					enr		15	15					enr		15	15																						0
Aldur's Deception	67	Aldur's Watchtower	uul	Shadow Plate	7	29	76	oran	oran						5	5000	2	ac		300	300	skilltab	16	1	2	str		20	20	dex		15	15	res-ltng		40	50	ease		-25	-25	skilltab	17	1	2									vit		15	15					vit		15	15					vit		15	15																						0
Aldur's Gauntlet	68	Aldur's Watchtower	9mt	Jagged Star	7	29	42	oran	oran						5	5000	2	dmg-norm		50	100	dmg-ltng		50	300	lifesteal		10	10	swing3		30	30	dmg-demon		200	200	manasteal		5	5	extra_grizzlys		1	1									str		45	45					extra_grizzlys		1	1					extra_spirit_wolves		3	3																						0
Aldur's Advance	69	Aldur's Watchtower	xtb	Battle Boots	7	29	45	oran	oran						5	5000	2	indestruct		1	1	regen-stam		50	50	hp		50	50	dmg-to-mana		50	50	move3		40	40	stam		180	180	res-fire		40	50									extra_dire_wolves		2	2					dex		15	15																														0
Immortal King's Will	70	Immortal King	ba5	Avenger Guard	7	37	47	lgry	lgry						5	5000	2	ac		125	125	gold%		37	37	skilltab	14	2	2	light		1	1	mag%		25	40	skill-rand	2	126	155																					balance1		10	10					bar		2	2																						0
Immortal King's Soul Cage	71	Immortal King	uar	Sacred Armor	7	60	76	lgry	lgry						5	5000	2	ac		400	400	gethit-skill	Enchant	5	30	skilltab	12	2	2	res-pois		50	50																					balance2		25	25					res-cold		40	40					res-fire		40	40					res-ltng		40	40					ac%		50	50						0
Immortal King's Detail	72	Immortal King	zhb	War Belt	7	26	29	lgry	lgry						5	5000	2	ac		50	50	res-fire		30	30	res-ltng		30	30	str		25	25	dmg-norm		5	10	skill-rand	2	126	155													ac		105	105					balance2		25	25					ac%		100	100					red-dmg%		20	20					skilltab	13	2	2						0
Immortal King's Forge	73	Immortal King	xhg	War Gauntlets	7	26	30	lgry	lgry						5	5000	2	ac		65	65	str		20	20	dex		20	20	gethit-skill	Charged Bolt	12	20																					swing2		25	25					ac		120	120					lifesteal		10	10					manasteal		10	10					freeze		2	2						0
Immortal King's Pillar	74	Immortal King	xhb	War Boots	7	26	31	lgry	lgry						5	5000	2	ac		75	75	move3		40	40	att		110	110	hp		50	50	skill-rand	2	126	155																	mag%		50	50					skilltab	12	2	2					ac		200	200					half-freeze		1	1														0
Immortal King's Stone Crusher	75	Immortal King	7m7	Ogre Maul	7	60	76	lgry	lgry						5	5000	2	swing3		40	40	dmg-demon		200	200	dmg-undead		200	200	deadly		50	50	dmg%		300	400																	dmg-fire		200	450					dmg-ltng		7	500					dmg-cold	50	120	380					dmg-norm		25	100					dmg-mag		250	450						0
Tal Rasha's Fire-Spun Cloth	76	Tal Rasha's Wrappings	zmb	Mesh Belt	7	50	53	dpur	dpur						5	5000	2	mana		50	50	dex		20	20	dmg-to-mana		37	37	mag%		20	50	skill-rand	2	36	65																	ac		60	60					cast2		15	15																														0
Tal Rasha's Adjudication	77	Tal Rasha's Wrappings	amu	Amulet	1	60	67	dpur	dpur						5	5000	2	res-ltng		33	33	sor		2	2	hp		50	50	dmg-ltng		3	32	mana		50	50	skill-rand	2	36	65													cast2		15	15													mag%		25	25																						0
Tal Rasha's Lidless Eye	78	Tal Rasha's Wrappings	oba	Swirling Crystal	7	60	65	dpur	dpur						5	5000	2	hp		57	57	mana		77	77	enr		10	10	cast3		20	30	pierce-fire		10	15	pierce-ltng		10	15	extra-cold		10	15									sor		1	1					sor		1	1					sor		1	1																						0
Tal Rasha's Howling Wind	79	Tal Rasha's Wrappings	uth	Lacquered Plate	7	60	71	dpur	dpur						5	5000	2	ease		-50	-25	red-mag		15	15	mag%		80	100	res-cold		40	40	res-fire		40	40	res-ltng		40	40	ac		400	400									balance1		15	15					cast2		15	15													hp		50	50														0
Tal Rasha's Horadric Crest	80	Tal Rasha's Wrappings	xsk	Death Mask	7	60	66	dpur	dpur						5	5000	2	mana		50	50	hp		60	60	ac		50	100	res-all		15	15	lifesteal		10	10	manasteal		10	10													balance1		10	10					balance1		10	10																														0
Griswold's Valor	81	Griswold's Legacy	urn	Corona	7	57	69	dgld	dgld						5	5000	2	ac%		50	75	abs-cold/lvl	2			sock		4	4	ease		-40	-40	mag%		20	30	res-all		25	25	allskills		1	1									skilltab	10	2	2																																						0
Griswold's Heart	82	Griswold's Legacy	xar	Ornate Plate	7	43	45	dgld	dgld						5	5000	2	ac		500	500	skilltab	11	2	2	sock		3	3	str		20	20	ease		-40	-40	skill-rand	2	106	125													swing1		10	10					balance1		15	15																														0
Griswolds's Redemption	83	Griswold's Legacy	7ws	Caduceus	7	43	53	dgld	dgld						5	5000	2	dmg%		200	300	swing2		40	40	dmg-undead		200	200	ease		-20	-20	sock		3	4	skill-rand	2	106	125	skill-rand	2	106	125									skilltab	9	2	2					dmg-norm		15	30					dmg/lvl	8																								0
Griswold's Honor	84	Griswold's Legacy	paf	Vortex Shield	7	57	68	dgld	dgld						5	5000	2	ac		108	108	sock	3			block2		65	65	block		20	20	res-all		45	45																	dmg%		50	50					dmg%		50	50					dmg%		100	100																						0
Trang-Oul's Guise	85	Trang-Oul's Avatar	uh9	Bone Visage	7	57	65	dgld	dgld						5	5000	2	ac		80	100	balance2		25	25	mana		150	150	regen		15	15	skill-rand	2	66	95																	cast1		10	10													nec		1	1																						0
Trang-Oul's Scales	86	Trang-Oul's Avatar	xul	Chaos Armor	7	43	49	dyel	dyel						5	5000	2	ease		-40	-40	ac-miss		100	100	res-pois		40	40	skilltab	8	2	2	move3		40	40	ac%		150	150	extra_fire_golems		1	1																	res-ltng		50	50					extra_fire_golems		1	1					red-dmg%		25	25														0
Trang-Oul's Wing	87	Trang-Oul's Avatar	ne9	Cantor Trophy	7	43	54	dyel	dyel						5	5000	2	ac		125	125	str		25	25	dex		15	15	res-fire		38	45	block		30	30	res-pois		40	40	skilltab	7	2	2																	pierce-pois		25	25					regen		15	15																						0
Trang-Oul's Claws	88	Trang-Oul's Avatar	xmg	Heavy Bracers	7	43	45	dyel	dyel						5	5000	2	ac		30	30	cast3		20	20	res-cold		30	30	skilltab	6	2	2	skill-rand	2	66	95	extra-pois		15	25																					extra_blood_golems		1	1					nec		1	1					extra_skele_mages		3	3														0
Trang-Oul's Girth	89	Trang-Oul's Avatar	utc	Troll Belt	7	43	47	dyel	dyel						5	5000	2	ac		75	100	skilltab	8	1	1	regen		25	25	hp		50	100	nofreeze		1	1	skill-rand	2	66	95																					res-cold		40	40					extra_skele_warriors		3	3																						0
M'avina's True Sight	90	M'avina's Battle Hymn	ci3	Diadem	7	21	59	whit	whit						5	5000	2	ac		150	150	regen		10	10	swing2		30	30	mana		25	25																					allskills		1	1					att%		50	50					res-all		25	25																						0
M'avina's Embrace	91	M'avina's Battle Hymn	uld	Kraken Shell	7	21	70	whit	whit						5	5000	2	gethit-skill	55	10	3	ease		-30	-30	red-mag		5	12	skilltab	1	2	2	ac/lvl	32			ac		350	350																					balance2		30	30																														0
M'avina's Icy Clutch	92	M'avina's Battle Hymn	xtg	Battle Gauntlets	7	21	32	whit	whit						5	5000	2	ac		45	50	dmg-cold	150	6	18	half-freeze		1	1	gold%		56	56	str		10	10	dex		15	15																													dmg-cold	100	131	252					extra-cold		20	20														0
M'avina's Tenet	93	M'avina's Battle Hymn	zvb	Sharkskin Belt	7	21	45	whit	whit						5	5000	2	ac		50	50	move2		20	20	manasteal		5	5	light		5	5																																					res-all		25	25																						0
M'avina's Caster	94	M'avina's Battle Hymn	amc	Grand Matron Bow	7	21	70	whit	whit						5	5000	2	dmg%		188	188	swing3		40	40	magicarrow		1	1	att		50	50																					dmg-mag		114	377					hit-skill	Nova	10	15					skilltab	0	2	2																						0
Telling of Beads	95	The Disciple	amu	Amulet	1	39	30	lblu	lblu						5	5000		res-pois		35	50	allskills		1	1	res-cold		18	18	thorns		8	10																																																														0
Laying of Hands	96	The Disciple	ulg	Bramble Mitts	7	39	63	lblu	lblu						5	5000		ac		25	25	swing2		20	20	res-fire		50	50	dmg-demon		350	350	hit-skill	101	10	3																																																										0
Rite of Passage	97	The Disciple	xlb	Demonhide Boots	7	39	29	lblu	lblu						5	5000		ac		25	25	move3		30	30	half-freeze		1	1	stam		15	25																																																														0
Spiritual Custodian	98	The Disciple	uui	Dusk Shroud	7	39	43	lblu	lblu						5	5000		ac		305	415	res-fire		24	24	gethit-skill	48	25	3	dmg-pois	50	125	175																																																														0
Credendum	99	The Disciple	umc	Mithril Coil	7	39	65	lblu	lblu						5	5000		ac		50	50	str		10	10	dex		10	10	res-all		15	15																																																														0
Dangoon's Teaching	100	Heaven's Brethren	7ma	Reinforced Mace	7	55	68								5	5000		dmg/lvl	12			swing3		40	40	hit-skill	44	10	3	dmg-fire		20	30																																																														0
Heaven's Taebaek	101	Heaven's Brethren	uts	Ward	7	55	81								5	5000		ac		50	50	mana		100	100	res-ltng		30	30	thorns		30	30	indestruct		1	1	block		25	25	block3		30	30																																																		0
Haemosu's Adament	102	Heaven's Brethren	xrs	Cuirass	7	55	44								5	5000		ac		500	500	ac-miss		35	35	hp		75	75	ac-hth		40	40	ease		-20	-20																																																										0
Ondal's Almighty	103	Heaven's Brethren	uhm	Spired Helm	7	55	69								5	5000		ac		50	50	ease		-40	-40	hit-skill	72	10	3	str		10	10	dex		15	15	balance3		24	24																																																						0
Guillaume's Face	104	Orphan's Call	xhm	Winged Helm	7	26	34	lgry	lgry						5	5000		ac%		120	120	balance3		30	30	dmg-norm		15	25	deadly		25	25	str		15	15																																																										0
Wilhelm's Pride	105	Orphan's Call	ztb	Battle Belt	7	26	42	lgry	lgry						5	5000		ac%		75	75	manasteal		5	5	res-cold		10	10	lifesteal		5	5																																																														0
Magnus' Skin	106	Orphan's Call	xvg	Sharkskin Gloves	7	26	37	lgry	lgry						5	5000		ac%		50	50	res-fire		15	15	swing2		20	20	light		3	3	att		100	100																																																										0
Wihtstan's Guard	107	Orphan's Call	xml	Round Shield	7	26	29	lgry	lgry						5	5000		ac%		175	175	block3		40	40	block		55	55	half-freeze		1	1	light		5	5																																																										0
Hwanin's Splendor	108	Hwanin's Majesty	xrn	Grand Crown	7	28	45								5	5000		regen		20	20	red-mag		10	10	res-cold		37	37	ac%		100	100																																																														0
Hwanin's Refuge	109	Hwanin's Majesty	xcl	Tigulated Mail	7	28	30								5	5000		ac		200	200	res-pois		27	27	hp		100	100	gethit-skill	42	10	3																																																														0
Hwanin's Seal	110	Hwanin's Majesty	mbl	Belt	7	28	35								5	5000		dmg-ltng		3	33	noheal		1	1	ac/lvl	12			dmg-to-mana		12	12																																																														0
Hwanin's Justice	111	Hwanin's Majesty	9vo	Bill	7	28	28								5	5000		att		330	330	indestruct		1	1	hit-skill	45	10	3	swing3		40	40	dmg%		200	200	dmg-ltng		5	25																																																						0
Sazabi's Cobalt Redeemer	112	Sazabi's Grand Tribute	7ls	Cryptic Sword	7	34	73	dblu	dblu						5	5000		dmg%		150	150	dmg-cold	50	25	35	swing3		40	40	dmg-demon		318	318	indestruct		1	1	dex		15	15	str		5	5																																																		0
Sazabi's Ghost Liberator	113	Sazabi's Grand Tribute	upl	Balrog Skin	7	34	67	dblu	dblu						5	5000		ac		400	400	balance3		30	30	str		25	25	att-demon		300	300	hp		50	75																																																										0
Sazabi's Mental Sheath	114	Sazabi's Grand Tribute	xhl	Basinet	7	34	43	dblu	dblu						5	5000		ac		100	100	allskills		1	1	res-fire		15	20	res-ltng		15	20																																																														0
Bul-Kathos' Sacred Charge	115	Bul-Kathos' Children	7gd	Colossus Blade	7	50	61	dgrn	dgrn						5	5000		deadly		40	40	res-all		20	20	swing2		20	20	knock		1	1	dmg%		200	200																																																										0
Bul-Kathos' Tribal Guardian	116	Bul-Kathos' Children	7wd	Mythical Sword	7	50	54	dgrn	dgrn						5	5000		res-fire		50	50	dmg-pois	50	255	255	swing2		20	20	str		20	20	dmg%		200	200																																																										0
Cow King's Horns	117	Cow King's Leathers	xap	War Hat	7	20	25								5	5000		ac		75	75	half-freeze		1	1	dmg-to-mana		35	35	thorns		10	10																																																														0
Cow King's Hide	118	Cow King's Leathers	stu	Studded Leather	7	20	18								5	5000		res-all		18	18	ac%		60	60	hp		30	30	gethit-skill	53	18	5																																																														0
Cow King's Hoofs	119	Cow King's Leathers	vbt	Heavy Boots	7	20	13								5	5000		ac		25	35	move3		30	30	mag%		25	25	dex		20	20	dmg-fire		25	35																																																										0
Naj's Puzzler	120	Naj's Ancient Set	6cs	Elder Staff	7	43	78								5	5000		enr		35	35	dmg%		150	150	charged	54	69	11	cast3		30	30	dmg-ltng		6	45	mana		70	70	allskills		1	1																																																		0
Naj's Light Plate	121	Naj's Ancient Set	ult	Hellforge Plate	7	43	71								5	5000		ease		-60	-60	hp		65	65	res-all		25	25	dmg-to-mana		45	45	allskills		1	1	ac		300	300																																																						0
Naj's Circlet	122	Naj's Ancient Set	ci0	Circlet	7	43	28								5	5000		ac		75	75	dmg-fire		25	35	light		5	5	str		15	15	gethit-skill	53	12	5																																																										0
McAuley's Paragon	123	McAuley's Folly	cap	Cap	3	20	25	lpur	lpur						5	5000		mag%		35	35	thorns		8	8	ac/lvl	8																																																																				0
