Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
17	102	255	386	102	300	454	166	396	824	170	396	824	60	209	1190	100	209	1587	11	15	21	11	15	20	225	584	876	90	584	876
18	108	265	401	108	312	472	177	414	862	180	414	862	64	216	1212	105	216	1616	12	16	22	12	16	22	248	644	966	100	644	966
19	114	275	417	114	324	490	188	432	900	190	432	900	68	221	1235	110	221	1647	13	17	23	13	17	24	273	708	1062	125	708	1062
20	120	286	431	120	336	507	199	450	938	200	450	938	73	228	1257	115	228	1676	13	17	24	13	17	24	300	779	1169	150	779	1169
21	126	296	446	126	348	525	210	468	976	210	468	976	78	236	1280	120	236	1707	14	19	25	14	19	26	330	857	1286	175	857	1286
22	132	306	461	132	360	542	221	486	1014	220	486	1014	84	243	1302	125	243	1736	14	19	26	14	19	26	363	942	1413	200	942	1413
23	138	316	476	138	372	560	232	504	1052	230	504	1052	89	248	1325	130	248	1767	15	20	28	15	20	28	399	1035	1553	250	1035	1553
24	144	326	491	144	384	578	243	522	1090	240	522	1090	94	255	1347	135	255	1796	16	21	30	16	21	30	439	1139	1709	300	1139	1709
25	150	337	506	150	396	595	254	540	1128	250	540	1128	100	261	1370	140	261	1827	16	21	30	16	21	30	470	1220	1830	350	1220	1830
26	156	347	521	156	408	613	265	558	1166	260	558	1166	106	268	1392	145	268	1856	17	23	31	17	23	31	503	1305	1958	400	1305	1958
27	162	357	536	162	420	630	276	576	1204	270	576	1204	113	275	1415	150	275	1887	17	23	31	17	23	31	538	1397	2096	450	1397	2096
28	168	367	551	168	432	648	287	594	1242	280	594	1242	120	280	1437	155	280	1916	18	24	33	18	24	33	576	1494	2241	500	1494	2241
29	174	377	566	174	444	666	298	612	1280	290	612	1280	126	287	1460	160	287	1947	19	25	35	19	25	35	616	1598	2397	550	1598	2397
30	180	388	581	180	456	683	309	630	1318	300	630	1318	134	320	1482	165	320	1976	19	25	35	19	25	35	659	1709	2564	600	1709	2564
31	186	398	596	186	468	701	320	648	1356	320	648	1356	142	355	1505	170	355	2007	20	27	37	20	27	37	706	1832	2748	650	1832	2748
32	192	408	610	192	480	718	331	666	1394	340	666	1394	150	388	1527	175	388	2036	20	27	37	20	27	37	755	1958	2937	700	1958	2937
33	198	418	626	198	492	736	342	684	1432	360	684	1432	158	423	1550	180	423	2067	21	28	39	21	28	39	808	2097	3146	750	2097	3146
34	204	428	641	204	504	754	353	702	1470	380	702	1470	166	456	1572	185	456	2096	22	29	41	22	29	41	864	2241	3362	800	2241	3362
35	210	439	655	210	516	771	364	720	1508	400	720	1508	174	491	1595	190	491	2127	22	29	41	22	29	41	925	2399	3599	850	2399	3599
36	216	449	671	216	528	789	375	738	1546	450	738	1546	182	525	1617	195	525	2156	23	31	43	23	31	43	990	2568	3852	900	2568	3852
37	222	459	685	222	540	806	386	756	1584	500	756	1584	190	559	1640	200	559	2187	23	31	43	23	31	43	1059	2745	4118	1000	2745	4118
38	228	469	700	228	552	824	397	774	1622	550	774	1622	198	593	1662	250	593	2216	24	32	44	24	32	44	1133	2939	4409	1100	2939	4409
39	234	479	716	234	564	842	408	792	1660	600	792	1660	206	627	1685	300	627	2247	25	33	46	25	33	46	1212	3144	4716	1200	3144	4716
40	240	490	730	240	576	859	419	810	1698	700	1000	1698	215	661	1707	350	900	2276	25	33	46	25	33	46	1297	3365	5048	1300	2000	5048
41	246	500	745	246	588	877	430	828	1736	800	1000	1736	225	696	1730	400	950	2307	26	35	48	26	35	48	1388	3600	5400	1400	2100	5400
42	252	510	760	252	600	894	441	846	1774	900	1000	1774	234	729	1752	450	1000	2336	26	35	48	26	35	48	1485	3852	5778	1500	2200	5778
43	258	520	775	258	612	912	452	864	1812	1000	1000	1812	243	764	1775	500	1050	2367	27	36	50	27	36	50	1589	4121	6182	1600	2300	6182
44	264	530	791	264	624	930	463	882	1850	1000	1000	1850	253	797	1797	550	1100	2396	28	37	52	28	37	52	1693	4409	6614	1700	2400	6614
45	270	541	805	270	636	947	474	900	1888	1000	1000	1888	262	832	1820	600	1200	2427	28	37	52	28	37	52	1797	4718	7077	1800	2500	7077
46	276	551	820	276	648	965	485	918	1926	485	1050	1926	271	867	1842	650	1300	2456	29	39	54	29	39	54	1901	5051	7577	1901	2600	7577
47	282	561	835	282	660	982	496	936	1964	496	1100	1964	281	900	1865	700	1350	2487	29	39	54	29	39	54	2005	5402	8103	2005	2700	8103
48	288	571	850	288	672	1000	507	954	2002	507	1150	2002	290	935	1887	800	1400	2516	30	40	56	30	40	56	2109	5783	8675	2109	2800	8675
49	294	581	865	294	684	1018	518	972	2040	518	1200	2040	299	968	1910	900	1450	2547	31	41	57	31	41	57	2213	6186	9279	2213	2900	9279
50	300	592	880	300	696	1035	529	990	2078	529	1250	2078	310	1003	1932	1000	1500	2576	31	41	57	31	41	57	2317	6618	9927	2317	3000	9927
51	306	602	895	306	708	1053	540	1008	2116	540	1300	2116	321	1037	1955	1000	1550	2607	32	43	59	32	43	59	2421	7080	10620	2421	3200	10620
52	312	612	910	312	720	1070	551	1026	2154	551	1350	2154	331	1071	1977	1000	1600	2636	32	43	59	32	43	59	2525	7506	11259	2525	3400	11259
53	318	622	925	318	732	1088	562	1044	2192	562	1400	2192	342	1105	2000	1000	1650	2667	33	44	61	33	44	61	2629	7956	11934	2629	3600	11934
54	324	632	940	324	744	1106	573	1062	2230	573	1450	2230	352	1139	2030	1000	1700	2707	34	45	63	34	45	63	2733	8435	12653	2733	3800	12653
55	330	643	955	330	756	1123	584	1080	2268	584	1500	2268	363	1173	2075	1000	1750	2767	34	45	63	34	45	63	2837	8942	13413	2837	4000	13413
56	336	653	970	336	768	1141	595	1098	2306	595	1550	2306	374	1208	2135	1000	1800	2847	35	47	65	35	47	65	2941	9477	14216	2941	4200	14216
57	342	663	984	342	780	1158	606	1116	2344	606	1600	2344	384	1241	2222	1000	1850	2962	35	47	65	35	47	65	3045	10044	15066	3045	4400	15066
58	348	673	1000	348	792	1176	617	1134	2382	617	1650	2382	395	1276	2308	1000	1900	3077	36	48	67	36	48	67	3149	10647	15971	3149	4600	15971
59	354	683	1015	354	804	1194	628	1152	2420	628	1700	2420	406	1309	2394	1000	1950	3192	37	49	68	37	58	68	3253	11286	16929	3253	4800	16929
60	360	694	1029	360	816	1211	639	1170	2458	639	1750	2458	418	1344	2480	1000	2000	3307	37	49	68	37	59	68	3357	11964	17946	3357	5000	17946
61	366	704	1045	366	828	1229	650	1188	2496	650	1800	2496	430	1379	2567	1000	2050	3422	38	51	70	38	61	70	3461	12680	19020	3461	5500	19020
62	372	714	1059	372	840	1246	661	1206	2534	661	1850	2534	442	1412	2653	1000	2100	3537	38	51	70	38	62	70	3565	13442	20163	3565	6000	20163
63	378	724	1074	378	852	1264	672	1224	2572	672	1900	2572	454	1447	2739	1000	2150	3652	39	52	72	39	63	72	3669	14249	21374	3669	6500	21374
64	384	734	1090	384	864	1282	683	1242	2610	683	1950	2610	466	1480	2825	1000	2200	3767	39	52	72	39	64	72	3773	15104	22656	3773	7000	22656
65	390	745	1104	390	876	1299	694	1260	2648	694	2000	2648	477	1515	2912	1000	2250	3882	40	53	74	40	65	74	3877	16010	24015	3877	7500	24015
66	396	755	1119	396	888	1317	705	1278	2686	705	2100	2686	489	1549	2998	1000	2300	3997	41	55	76	41	66	76	3981	16916	25374	3981	8000	25374
67	402	765	1134	402	900	1334	716	1296	2724	716	2200	2724	501	1583	3084	1000	2350	4112	41	55	76	41	67	76	4085	17822	26733	4085	8500	26733
68	408	775	1149	408	912	1352	727	1314	2762	727	2300	2762	513	1617	3170	1000	2400	4227	42	56	78	42	68	78	4189	18728	28092	4189	9500	28092
69	414	785	1165	414	924	1370	738	1332	2800	738	2400	2800	525	1651	3257	1000	2450	4342	43	57	80	43	69	80	4293	19634	29451	4293	10000	29451
70	420	796	1179	420	936	1387	749	1350	2838	749	2500	2838	539	1685	3343	1000	2500	4457	43	57	80	43	70	80	4397	20540	30810	4397	11000	30810
71	426	806	1194	426	948	1405	760	1368	2876	760	2600	2876	552	1720	3429	1000	2550	4572	44	59	81	44	71	81	4501	21446	32169	4501	12000	32169
72	432	816	1209	432	960	1422	771	1386	2914	771	2700	2914	565	1753	3515	1000	2600	4687	44	59	81	44	72	81	4605	22352	33528	4605	13000	33528
73	438	826	1224	438	972	1440	782	1404	2952	782	2800	2952	579	1788	3602	1000	2650	4802	45	60	83	45	73	83	4709	23258	34887	4709	14000	34887
74	444	836	1239	444	984	1458	793	1422	2990	793	2900	2990	592	1821	3688	1000	2700	4917	46	61	85	46	74	85	4813	24164	36246	4813	15000	36246
75	450	847	1254	450	996	1475	804	1440	3028	804	3000	3028	605	1856	3774	1000	2800	5032	46	61	85	46	75	85	4917	25070	37605	4917	20000	37605
76	456	857	1269	456	1008	1493	815	1458	3066	815	3100	3066	618	1891	3860	1000	2800	5147	47	63	87	47	76	87	5021	25976	38964	5021	25976	38964
77	462	867	1284	462	1020	1510	826	1476	3104	826	3200	3104	632	1924	3947	1000	2850	5262	47	63	87	47	77	87	5125	26882	40323	5125	26882	40323
78	468	877	1299	468	1032	1528	837	1494	3142	837	3300	3142	645	1959	4033	1000	2800	5377	48	64	89	48	78	89	5229	27788	41682	5229	27788	41682
79	474	887	1314	474	1044	1546	848	1512	3180	848	3400	3180	658	1992	4119	1000	2950	5492	49	65	91	49	79	91	5333	28694	43041	5333	28694	43041
80	480	898	1329	480	1056	1563	859	1530	3218	859	3500	3100	673	2027	4205	1000	3000	7100	49	65	91	49	80	91	5437	29600	44400	5437	29600	30000
81	486	908	1344	486	1068	1581	870	1548	3256	870	1548	3200	688	2061	4292	1000	3100	7200	50	67	93	50	67	93	5541	30506	45759	5541	30506	32000
82	492	918	1358	492	1080	1598	881	1566	3294	881	1566	3300	702	2095	4378	1000	3200	7300	50	67	93	50	67	93	5645	31412	47118	5645	31412	33000
83	498	928	1374	498	1092	1616	892	1584	3332	892	1584	3400	717	2129	4464	1000	3300	7400	51	68	94	51	68	94	5749	32318	48477	5749	32318	34000
84	504	938	1389	504	1104	1634	903	1602	3370	903	1602	3500	732	2163	4550	1000	3400	7500	51	68	94	51	68	94	5853	33224	49836	5853	33224	35000
85	510	949	1403	510	1116	1651	914	1620	3408	914	1620	3600	746	2197	4637	1000	3500	7600	52	69	96	52	69	100	5957	34130	51195	5957	34130	36000
86	516	959	1419	516	1128	1669	925	1638	3446	925	1638	3700	761	2232	4723	1000	3600	7700	53	70	98	53	70	110	6061	35036	52554	6061	35036	37000
87	522	969	1433	522	1140	1686	936	1656	3484	936	1656	3800	775	2265	4809	1000	3700	7800	53	70	98	53	70	120	6165	35942	53913	6165	35942	38000
88	528	979	1448	528	1152	1704	947	1674	3522	947	1674	3900	790	2300	4895	1000	3800	7900	54	72	100	54	72	130	6269	36848	55272	6269	36848	39000
89	534	989	1464	534	1164	1722	958	1692	3560	958	1692	4000	805	2333	4982	1000	3900	8000	55	73	102	55	73	140	6373	37754	56631	6373	37754	40000
90	540	1000	1478	540	1176	1739	969	1710	3598	969	1710	4100	821	2368	5068	1000	4000	8100	55	73	102	55	73	150	6477	38660	57990	6477	38660	45000
91	546	1010	1493	546	1188	1757	980	1728	3636	980	1728	4200	837	2403	5154	1000	4100	8200	56	74	104	56	74	160	6581	39566	59349	6581	39566	50000
92	552	1020	1508	552	1200	1774	991	1746	3674	991	1746	4300	853	2436	5240	1000	4200	8300	56	74	104	56	74	170	6685	40472	60708	6685	40472	55000
93	558	1030	1523	558	1212	1792	1002	1764	3712	1002	1764	4400	868	2471	5327	1000	4300	8400	57	76	105	57	76	180	6789	41378	62067	6789	41378	65000
94	564	1040	1539	564	1224	1810	1013	1782	3750	1013	1782	4500	884	2504	5413	1000	4400	8500	58	77	107	58	77	180	6893	42284	63426	6893	42284	70000
95	570	1051	1553	570	1236	1827	1024	1800	3788	1024	1800	4600	900	2539	5499	1000	4500	8600	58	77	107	58	77	180	6997	43190	64785	6997	43190	75000
96	576	1061	1568	576	1248	1845	1035	1818	3826	1035	1818	4700	916	2573	5585	1000	4600	8700	59	78	109	59	78	180	7101	44096	66144	7101	44096	80000
97	582	1071	1583	582	1260	1862	1046	1836	3864	1046	1836	4800	932	2607	5672	1000	4700	8800	59	78	109	59	78	180	7205	45002	67503	7205	45002	90000
98	588	1081	1598	588	1272	1880	1057	1854	3902	1057	1854	4900	948	2641	5758	1000	4800	8900	60	80	111	180	180	180	7309	45908	68862	7309	45908	100000
99	594	1091	1613	594	1284	1898	1068	1872	3940	1068	1872	5000	964	2675	5844	1000	4900	9000	60	80	111	180	180	180	7413	46814	70221	7413	46814	100000
100	600	1102	1628	600	1296	1915	1079	1890	3978	1079	1890	5000	982	2709	5930	10000	10000	10000	61	81	113	180	180	180	7517	47720	71580	7517	47720	100000
101	606	1112	1643	606	1308	1933	1090	1908	4016	1090	1908	5000	999	2744	6017	10000	10000	10000	62	82	115	180	180	180	7621	48626	72939	7621	48626	72939
102	612	1122	1658	612	1320	1950	1101	1926	4054	1101	1926	5000	1016	2777	6103	10000	10000	10000	62	82	115	180	180	180	7725	49532	74298	7725	49532	74298
103	618	1132	1673	618	1332	1968	1112	1944	4092	1112	1944	5000	1033	2812	6189	10000	10000	10000	63	84	117	180	180	180	7829	50438	75657	7829	50438	75657
104	624	1142	1688	624	1344	1986	1123	1962	4130	1123	1962	5000	1051	2845	6275	10000	10000	10000	63	84	117	180	180	180	7933	51344	77016	7933	51344	77016
105	630	1153	1703	630	1356	2003	1134	1980	4168	1134	1980	5000	1068	2880	6362	10000	10000	10000	64	85	118	180	180	180	8037	52250	78375	8037	52250	78375
106	636	1163	1718	636	1368	2021	1145	1998	4206	1145	1998	5000	1085	2915	6448	10000	10000	10000	65	86	120	180	180	180	8141	53156	79734	8141	53156	79734
107	642	1173	1732	642	1380	2038	1156	2016	4244	1156	2016	5000	1103	2948	6534	10000	10000	10000	65	86	120	180	180	180	8245	54062	81093	8245	54062	81093
108	648	1183	1748	648	1392	2056	1167	2034	4282	1167	2034	5000	1120	2983	6620	10000	10000	10000	66	88	122	180	180	180	8349	54968	82452	8349	54968	82452
109	654	1193	1763	654	1404	2074	1178	2052	4320	1178	2052	5000	1137	3016	6707	10000	10000	10000	67	89	124	180	180	180	8453	55874	83811	8453	55874	83811
110	2100	2100	2100	2100	2100	2100	6532	6532	6532	7000	7000	7000	10000	10000	10000	10000	10000	10000	130	130	130	180	180	180	160000	160000	160000	160000	160000	300000
