Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	merc01	merc41	14000	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	75	Inner Sight	4	15	0	22	10	Cold Arrow	4	50	0	22	10	Freezing Arrow	4	111	0	7	3																			1	5	2	25000	ama
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	6000	110	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial1	75	Inner Sight	4	15	0	12	10	Fire Arrow	4	50	0	12	10	Exploding Arrow	4	33	10	7	5																			1	5	2	25000	ama
Rogue Scout	Fire - Nightmare	100	2	271	1	2	67	150	merc01	merc41	12500	120	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	75	Inner Sight	4	15	0	22	10	Fire Arrow	4	50	0	22	10	Exploding Arrow	4	111	0	12	5																			1	5	2	25000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	7500	115	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	75	Inner Sight	4	15	0	12	10	Cold Arrow	4	50	0	12	10	Freezing Arrow	4	33	10	4	3																			1	5	2	25000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	67	150	merc01	merc41	14000	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	75	Inner Sight	4	15	0	22	10	Cold Arrow	4	50	0	22	10	Freezing Arrow	4	111	0	7	3																			1	5	2	25000	ama
Rogue Scout	Fire - Hell	100	4	271	1	3	67	150	merc01	merc41	12500	120	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	75	Inner Sight	4	15	0	22	10	Fire Arrow	4	50	0	22	10	Exploding Arrow	4	111	0	12	5																			1	5	2	25000	ama
Rogue Scout	Ice - Hell	100	5	271	1	3	67	150	merc01	merc41	14000	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	75	Inner Sight	4	15	0	22	10	Cold Arrow	4	50	0	22	10	Freezing Arrow	4	111	0	7	3																			1	5	2	25000	ama
Desert Mercenary	Comb-Normal	0	6	338	2	1	9	198	merca201	merca221	350	110	150	16	100	16	57	16	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname99	30	Jab	14	70	4	3	10	Prayer	1	10	0	3	10																									5	5	2	25000	
Desert Mercenary	Comb-Normal	0	6	338	2	1	31	198	merca201	merca221	350	110	400	24	300	24	96	16	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	skillname99	30	Jab	14	92	4	10	10	Prayer	1	10	0	10	10																									5	5	2	25000	
Desert Mercenary	Comb-Normal	0	6	338	2	1	55	198	merca201	merca221	350	110	1000	32	900	32	138	16	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	skillname99	30	Jab	14	116	4	18	10	Prayer	1	10	0	18	0																									5	5	2	25000	
Desert Mercenary	Def-Normal	0	7	338	2	1	9	198	merca201	merca221	350	110	150	16	100	16	57	16	40	12	20	10	7	14	4	18	8	18	8	18	8	18	8	skillname104	30	Jab	14	70	4	3	10	Defiance	1	10	0	3	10																									5	5	2	25000	
Desert Mercenary	Def-Normal	0	7	338	2	1	31	198	merca201	merca221	350	110	400	24	300	24	96	16	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	skillname104	30	Jab	14	92	4	10	10	Defiance	1	10	0	10	10																									5	5	2	25000	
Desert Mercenary	Def-Normal	0	7	338	2	1	55	198	merca201	merca221	350	110	1000	32	900	32	138	16	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	skillname104	30	Jab	14	116	4	18	0	Defiance	1	10	0	18	0																									5	5	2	25000	
Desert Mercenary	Off-Normal	0	8	338	2	1	9	198	merca201	merca221	350	110	150	16	100	16	57	16	40	12	20	10	7	14	4	18	8	18	8	18	8	18	8	skillname108	30	Jab	14	70	4	3	10	Blessed Aim	1	10	0	3	10																									5	5	2	25000	
Desert Mercenary	Off-Normal	0	8	338	2	1	31	198	merca201	merca221	350	110	400	24	300	24	96	16	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	skillname108	30	Jab	14	92	4	10	10	Blessed Aim	1	10	0	10	10																									5	5	2	25000	
Desert Mercenary	Off-Normal	0	8	338	2	1	55	198	merca201	merca221	350	110	1000	32	900	32	138	16	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	skillname108	30	Jab	14	116	4	18	0	Blessed Aim	1	10	0	18	0																									5	5	2	25000	
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	31	198	merca201	merca221	7900	120	400	24	300	16	92	16	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	skillname103	30	Jab	14	120	4	9	10	Thorns	1	10	0	5	10																									5	5	2	25000	
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	55	198	merca201	merca221	7900	120	1000	32	900	24	134	16	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	skillname103	30	Jab	14	144	4	17	10	Thorns	1	10	0	13	0																									5	5	2	25000	
Desert Mercenary	Def-Nightmare	0	10	338	2	2	31	198	merca201	merca221	7900	120	400	24	300	16	92	16	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	skillname114	30	Jab	14	120	4	9	10	Holy Freeze	1	10	0	6	10																									5	5	2	25000	
Desert Mercenary	Def-Nightmare	0	10	338	2	2	55	198	merca201	merca221	7900	120	1000	32	900	24	134	16	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	skillname114	30	Jab	14	144	4	17	0	Holy Freeze	1	10	0	14	0																									5	5	2	25000	
Desert Mercenary	Off-Nightmare	0	11	338	2	2	31	198	merca201	merca221	7900	120	400	24	300	16	92	16	69	12	216	20	16	23	6	59	7	59	7	59	7	59	7	skillname98	30	Jab	14	120	4	9	10	Might	1	10	0	7	8																									5	5	2	25000	
Desert Mercenary	Off-Nightmare	0	11	338	2	2	55	198	merca201	merca221	7900	120	1000	32	900	24	134	16	105	12	696	30	34	41	8	101	4	101	4	101	4	101	4	skillname98	30	Jab	14	144	4	17	0	Might	1	10	0	13	8																									5	5	2	25000	
Desert Mercenary	Comb-Hell	0	12	338	2	3	55	198	merca201	merca221	15000	130	1000	32	1000	32	130	16	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	skillname99	30	Jab	14	104	4	16	10	Prayer	1	10	0	16	0																									5	5	2	25000	
Desert Mercenary	Def-Hell	0	13	338	2	3	55	198	merca201	merca221	15000	130	1000	32	1000	32	130	16	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	skillname104	30	Jab	14	104	4	16	0	Defiance	1	10	0	16	0																									5	5	2	25000	
Desert Mercenary	Off-Hell	0	14	338	2	3	55	198	merca201	merca221	15000	130	1000	32	1000	32	130	16	101	12	626	30	32	39	8	98	4	98	4	98	4	98	4	skillname108	30	Jab	14	104	4	16	0	Blessed Aim	1	10	0	16	0																									5	5	2	25000	
Desert Mercenary	Prayer-Normal	100	6	338	2	1	9	198	merca201	merca221	350	110	150	24	100	16	57	16	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname99	30	Jab	14	70	4	3	10	Prayer	1	10	0	3	7																									1	5	2	25000	
Desert Mercenary	Prayer-Normal	100	6	338	2	1	43	198	merca201	merca221	7900	110	1000	32	500	24	117	16	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname99	30	Jab	14	104	4	14	10	Prayer	1	10	0	11	7																									1	5	2	25000	
Desert Mercenary	Prayer-Normal	100	6	338	2	1	75	198	merca201	merca221	15000	110	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	30	Jab	14	136	4	24	10	Prayer	1	10	0	18	0																									1	5	2	25000	
Desert Mercenary	Defiance-Normal	100	7	338	2	1	9	198	merca201	merca221	350	110	150	24	100	16	57	16	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname104	30	Jab	14	70	4	3	10	Defiance	1	10	0	3	7																									1	5	2	25000	
Desert Mercenary	Defiance-Normal	100	7	338	2	1	43	198	merca201	merca221	7900	110	1000	32	500	24	117	16	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname104	30	Jab	14	104	4	14	10	Defiance	1	10	0	11	7																									1	5	2	25000	
Desert Mercenary	Defiance-Normal	100	7	338	2	1	75	198	merca201	merca221	15000	110	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname104	30	Jab	14	136	4	24	0	Defiance	1	10	0	18	0																									1	5	2	25000	
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	9	198	merca201	merca221	350	110	150	24	100	16	57	16	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname108	30	Jab	14	70	4	3	10	Blessed Aim	1	10	0	3	7																									1	5	2	25000	
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	43	198	merca201	merca221	7900	110	1000	32	500	24	117	16	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname108	30	Jab	14	104	4	14	10	Blessed Aim	1	10	0	11	7																									1	5	2	25000	
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	75	198	merca201	merca221	15000	110	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname108	30	Jab	14	136	4	24	0	Blessed Aim	1	10	0	18	0																									1	5	2	25000	
Desert Mercenary	Prayer-Nightmare	100	30	338	2	2	43	198	merca201	merca221	7900	110	1000	32	500	16	117	16	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname99	30	Jab	14	104	4	14	10	Prayer	1	10	0	11	7																									1	5	2	25000	
Desert Mercenary	Prayer-Nightmare	100	30	338	2	2	75	198	merca201	merca221	15000	110	2000	48	1000	24	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	30	Jab	14	136	4	24	10	Prayer	1	10	0	18	0																									1	5	2	25000	
Desert Mercenary	Defiance-Nightmare	100	31	338	2	2	43	198	merca201	merca221	7900	110	1000	32	500	32	117	16	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname104	30	Jab	14	104	4	14	10	Defiance	1	10	0	11	7																									1	5	2	25000	
Desert Mercenary	Defiance-Nightmare	100	31	338	2	2	75	198	merca201	merca221	15000	110	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname104	30	Jab	14	136	4	24	0	Defiance	1	10	0	18	0																									1	5	2	25000	
Desert Mercenary	BlessedAim-Nightmare	100	32	338	2	2	43	198	merca201	merca221	7900	110	1000	32	500	24	117	16	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname108	30	Jab	14	104	4	14	10	Blessed Aim	1	10	0	11	7																									1	5	2	25000	
Desert Mercenary	BlessedAim-Nightmare	100	32	338	2	2	75	198	merca201	merca221	15000	110	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname108	30	Jab	14	136	4	24	0	Blessed Aim	1	10	0	18	0																									1	5	2	25000	
Desert Mercenary	Thorns-Nightmare	100	9	338	2	2	43	198	merca201	merca221	7900	120	1000	32	500	24	117	16	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname103	30	Jab	14	104	4	13	10	Thorns	1	10	0	11	10																									1	5	2	25000	
Desert Mercenary	Thorns-Nightmare	100	9	338	2	2	75	198	merca201	merca221	15000	120	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname103	30	Jab	14	136	4	23	10	Thorns	1	10	0	21	10																									1	5	2	25000	
Desert Mercenary	HolyFreeze-Nightmare	100	10	338	2	2	43	198	merca201	merca221	7900	120	1000	32	1000	24	120	16	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname114	30	Jab	14	104	4	13	10	Holy Freeze	1	10	0	6	10																									1	5	2	25000	
Desert Mercenary	HolyFreeze-Nightmare	100	10	338	2	2	75	198	merca201	merca221	15000	120	2000	48	1500	32	180	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname114	30	Jab	14	136	4	23	0	Holy Freeze	1	10	0	16	0																									1	5	2	25000	
Desert Mercenary	Might-Nightmare	100	11	338	2	2	43	198	merca201	merca221	7900	120	1000	32	500	24	117	16	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname98	30	Jab	14	104	4	13	10	Might	1	10	0	7	8																									1	5	2	25000	
Desert Mercenary	Might-Nightmare	100	11	338	2	2	75	198	merca201	merca221	15000	120	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname98	30	Jab	14	136	4	23	0	Might	1	10	0	15	8																									1	5	2	25000	
Desert Mercenary	Comb-Hell	100	12	338	2	3	75	198	merca201	merca221	15000	130	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	30	Jab	14	136	4	24	10	Prayer	1	10	0	18	0																									1	5	2	25000	
Desert Mercenary	Def-Hell	100	13	338	2	3	75	198	merca201	merca221	15000	130	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname104	30	Jab	14	136	4	24	0	Defiance	1	10	0	18	0																									1	5	2	25000	
Desert Mercenary	Off-Hell	100	14	338	2	3	75	198	merca201	merca221	15000	130	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname108	30	Jab	14	136	4	24	0	Blessed Aim	1	10	0	18	0																									1	5	2	25000	
Desert Mercenary	Thorns-Hell	100	33	338	2	3	75	198	merca201	merca221	15000	130	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname103	30	Jab	14	136	4	23	10	Thorns	1	10	0	21	10																									1	5	2	25000	
Desert Mercenary	HolyFreeze-Hell	100	34	338	2	3	75	198	merca201	merca221	15000	130	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname114	30	Jab	14	136	4	23	0	Holy Freeze	1	10	0	16	0																									1	5	2	25000	
Desert Mercenary	Might-Hell	100	35	338	2	3	75	198	merca201	merca221	15000	130	2000	48	1000	32	173	16	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname98	30	Jab	14	136	4	23	0	Might	1	10	0	15	8																									1	5	2	25000	
Eastern Sorceror	Fire-Normal	0	15	359	3	1	15	252	merca222	merca241	1000	110	160	8	80	4	49	12	40	12	15	10	1	7	4	25	7	25	7	25	7	25	7	strhirespecial7	10	Inferno	7	60	0	6	10	Fire Ball	7	30	0	4	10																									5	5	2	25000	
Eastern Sorceror	Fire-Normal	0	15	359	3	1	37	252	merca222	merca241	1000	110	336	14	168	10	77	12	62	12	235	20	12	18	4	64	7	64	7	64	7	64	7	strhirespecial7	10	Inferno	7	60	0	13	10	Fire Ball	7	30	0	11	10																									5	5	2	25000	
Eastern Sorceror	Fire-Normal	0	15	359	3	1	61	252	merca222	merca241	1000	110	672	20	408	18	107	12	86	12	715	30	24	30	4	106	6	106	6	106	6	106	6	strhirespecial7	10	Inferno	7	60	0	21	10	Fire Ball	7	30	0	19	10																									5	5	2	25000	
Eastern Sorceror	Cold-Normal	0	16	359	3	1	15	252	merca222	merca241	1500	120	160	8	80	4	49	12	40	12	15	10	1	7	4	25	7	25	7	25	7	25	7	strhirespecial6	10	Glacial Spike	7	60	0	1	5	Chilling Armor	7	1000	0	2	10	Ice Blast	7	240	0	6	10																			5	5	2	25000	
Eastern Sorceror	Cold-Normal	0	16	359	3	1	37	252	merca222	merca241	1500	120	336	14	168	10	77	12	62	12	235	20	12	18	4	64	7	64	7	64	7	64	7	strhirespecial6	10	Glacial Spike	7	60	0	5	5	Chilling Armor	7	1000	0	9	10	Ice Blast	7	240	0	13	10																			5	5	2	25000	
Eastern Sorceror	Cold-Normal	0	16	359	3	1	61	252	merca222	merca241	1500	120	672	20	408	16	107	12	86	12	715	30	24	30	4	106	4	106	4	106	4	106	4	strhirespecial6	10	Glacial Spike	7	60	0	9	5	Chilling Armor	7	1000	0	17	10	Ice Blast	7	240	0	21	10																			5	5	2	25000	
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	15	252	merca222	merca241	1000	110	160	8	80	4	49	12	40	12	15	10	1	7	4	25	7	25	7	25	7	25	7	strhirespecial5	10	Charged Bolt	7	60	0	4	5	Lightning	7	30	0	3	10																									5	5	2	25000	
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	37	252	merca222	merca241	1000	110	336	14	168	10	77	12	62	12	235	20	12	18	4	64	7	64	7	64	7	64	7	strhirespecial5	10	Charged Bolt	7	60	0	8	5	Lightning	7	30	0	10	10																									5	5	2	25000	
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	61	252	merca222	merca241	1000	110	672	20	408	16	107	12	86	12	715	30	24	30	4	106	4	106	4	106	4	106	4	strhirespecial5	10	Charged Bolt	7	60	0	12	5	Lightning	7	30	0	18	10																									5	5	2	25000	
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	37	252	merca222	merca241	9500	120	302	14	151	10	73	12	58	12	212	20	10	16	4	61	7	61	7	61	7	61	7	strhirespecial7	10	Inferno	7	60	0	12	10	Fire Ball	7	30	0	10	10																									5	5	2	25000	
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	61	252	merca222	merca241	9500	120	638	20	391	16	103	12	82	12	692	30	22	28	4	103	4	103	4	103	4	103	4	strhirespecial7	10	Inferno	7	60	0	20	10	Fire Ball	7	30	0	18	10																									5	5	2	25000	
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	37	252	merca222	merca241	12000	130	302	14	151	10	73	12	58	12	212	20	10	16	4	61	7	61	7	61	7	61	7	strhirespecial6	10	Glacial Spike	7	60	0	4	5	Chilling Armor	7	1000	0	8	10	Ice Blast	7	240	0	12	10																			5	5	2	25000	
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	61	252	merca222	merca241	12000	130	638	20	391	16	103	12	82	12	692	30	22	28	4	103	4	103	4	103	4	103	4	strhirespecial6	10	Glacial Spike	7	60	0	8	5	Chilling Armor	7	1000	0	16	10	Ice Blast	7	240	0	20	10																			5	5	2	25000	
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	37	252	merca222	merca241	10000	120	302	14	151	10	73	12	58	12	212	20	10	16	4	61	7	61	7	61	7	61	7	strhirespecial5	10	Charged Bolt	7	60	0	7	5	Lightning	7	30	0	9	10																									5	5	2	25000	
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	61	252	merca222	merca241	10000	120	638	20	391	16	103	12	82	12	692	30	22	28	4	103	4	103	4	103	4	103	4	strhirespecial5	10	Charged Bolt	7	60	0	11	5	Lightning	7	30	0	17	10																									5	5	2	25000	
Eastern Sorceror	Fire-Hell	0	21	359	3	3	61	252	merca222	merca241	21000	130	574	20	352	16	99	12	78	12	623	30	20	26	4	100	4	100	4	100	4	100	4	strhirespecial7	10	Inferno	7	60	0	19	10	Fire Ball	7	30	0	17	10																									5	5	2	25000	
Eastern Sorceror	Cold-Hell	0	22	359	3	3	61	252	merca222	merca241	27000	140	574	20	352	16	99	12	78	12	623	30	20	26	4	100	4	100	4	100	4	100	4	strhirespecial6	10	Glacial Spike	7	60	0	7	5	Chilling Armor	7	1000	0	15	10	Ice Blast	7	240	0	19	10																			5	5	2	25000	
Eastern Sorceror	Ltng-Hell	0	23	359	3	3	61	252	merca222	merca241	21000	130	574	20	352	16	99	12	78	12	623	30	20	27	4	100	4	100	4	100	4	100	4	strhirespecial5	10	Charged Bolt	7	60	0	10	5	Lightning	7	30	0	16	10																									5	5	2	25000	
Eastern Sorceror	Fire-Normal	100	15	359	3	1	15	252	merca222	merca241	1000	110	160	11	95	9	49	12	40	12	15	12	1	7	4	35	8	35	8	35	8	35	8	strhirespecial7	10	Fire Bolt	7	30	0	6	10	Fire Ball	7	60	0	4	10	Enchant	7	30	0	1	10																			1	5	2	25000	
Eastern Sorceror	Fire-Normal	100	15	359	3	1	49	252	merca222	merca241	10000	120	534	23	419	16	92	12	74	12	423	24	18	24	4	103	7	103	7	103	7	103	7	strhirespecial7	10	Fire Bolt	7	30	0	17	10	Fire Ball	7	60	0	15	10	Enchant	7	30	0	12	15																			1	5	2	25000	
Eastern Sorceror	Fire-Normal	100	15	359	3	1	79	252	merca222	merca241	21000	130	1224	34	907	25	130	12	104	12	1143	36	33	39	4	155	5	155	5	155	5	155	5	strhirespecial7	10	Fire Bolt	7	30	0	27	10	Fire Ball	7	60	0	25	10	Enchant	7	30	0	26	20																			1	5	2	25000	
