index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Rusthandle	16	0	1		1	1	12	17	gsc	Grand Scepter		5	5000	lgld	lgld						pal		1	1	dmg-norm		5	10	red-mag		3	3	lifesteal		8	8	dmg%		50	60	dmg-undead		100	100	skill	Thorns	3	3	skill	Vengeance	3	3																		0
Stormeye	17	0	1		1	1	17	23	wsp	War Scepter		5	5000	cred	cred						dmg-ltng		1	50	extra-ltng		10	10	regen		10	10	dmg%		80	120	skill	Resist Lightning	3	5	skill	Holy Shock	3	3	skill	Zeal	3	3																						0
Stoutnail	18	0	1		1	1	1	5	spc	Spiked Club		5	5000	dgry			invspcu				thorns		15	15	dmg%		100	100	vit		7	7	red-mag		2	2	aura	Thorns	1	1																														0
Crushflange	19	0	1		1	1	1	9	mac	Mace		5	5000	blac	blac						str		20	20	light		2	2	res-fire		50	50	dmg%		80	120	deadly		10	10																														0
Bloodrise	20	0	1		1	1	12	15	mst	Morning Star		5	5000	lblu			invmstu				dmg%		120	120	att		50	50	openwounds		25	25	light		2	2	swing1		15	15	skill	Sacrifice	3	3	lifesteal		5	5	bloody		1	1																		0
The Generals Tan Do Li Ga	21	0	1		1	1	17	21	fla	Flail		5	5000	dblu	dblu						dmg-min		1	1	dmg-max		30	30	slow		10	10	ac		25	25	manasteal		5	5	dmg%		100	100	swing2		20	20																						0
Ironstone	22	0	1		1	1	25	27	whm	War Hammer		5	5000	cblu	cblu						att		100	150	dmg%		100	150	ltng-min		1	1	ltng-max		30	30	str		10	10	enr		-10	-10	manasteal		5	5																						0
Bonesob	23	0	1		1	1	25	25	mau	Maul		5	5000	lred			invmauu				dmg%		200	300	dmg-undead		150	150	red-dmg%		15	15	deadly		15	15																																		0
Steeldriver	24	0	1		1	1	25	29	gma	Great Maul		5	5000	cgrn	cgrn		invgma				ease		-50	-50	swing3		40	40	regen-stam		25	25	dmg%		150	250	dmg-min		30	60																														0
Rixots Keen	25	0	1		1	1	1	1	ssd	Short Sword		5	5000	blac	blac						dmg-min		5	10	att%		25	25	att		25	25	ac		25	25	dmg%		100	100																														0
Blood Crescent	26	0	1		1	1	1	7	scm	Scimitar		5	5000	lblu			invscmu				res-all		15	15	dmg%		60	80	hp		15	15	openwounds		33	33	swing2		15	15	lifesteal		15	15	oskill	Sacrifice	3	3																						0
Krintizs Skewer	27	0	1		1	1	1	10	sbr	Sabre		5	5000	cblu			inv9sbu				ignore-ac		1	1	str		10	10	dex		10	10	manasteal		7	7	dmg%		50	50	dmg-norm		5	10	move1		15	15	gold%		50	50																		0
Gleamscythe	28	0	1		1	1	1	13	flc	Falchion		5	5000	lred			invflcu				light		3	3	mana		30	30	ac		20	20	swing2		20	20	dmg%		60	100	dmg-ltng		1	15																										0
Akaras Wrath	29	0	1		1	1	1	13	crs	Crystal Sword		5	5000	lgry			invcrsu				deadly		15	15	mag%		25	25	dmg-cold	50	5	10	dmg%		100	100	dmg-mag		5	10																														0
Griswolds Edge	30	0	1		1	1	12	17	bsd	Broad Sword		5	5000	cred			invbsdu				fire-min		10	12	fire-max		15	25	att		100	100	swing1		-10	-10	dmg%		80	120	str		12	12	aura	Holy Fire	3	3																						0
Hellplague	31	0	1		1	1	25	30	lsd	Long Sword		5	5000	dred			invlsdu				manasteal		5	5	lifesteal		5	5	dmg-pois	100	100	100	fireskill		2	2	dmg%		100	100	dmg-fire		25	75	hit-skill	Enchant	5	10																						0
Culwens Point	32	0	1		1	1	25	29	wsd	War Sword		5	5000	whit	whit						allskills		1	1	res-pois-len		50	50	balance2		20	20	swing2		20	20	att		100	100	dmg%		100	100	aura	Blessed Aim	3	3																						0
Shadowfang	33	0	1		1	1	12	12	2hs	2-Handed Sword		5	5000	cgrn			inv2hsu				manasteal		9	9	res-cold		20	20	light		-2	-2	dmg-cold	150	10	30	dmg%		100	100	lifesteal		9	9	hit-skill	Fade	10	5																						0
Soulflay	34	0	1		1	1	17	19	clm	Claymore		5	5000	dgrn	dgrn						manasteal		4	10	lifesteal		4	4	dmg%		70	100	res-all		5	5	swing2		10	10																														0
Kinemils Awl	35	0	1		1	1	25	25	gis	Giant Sword		5	5000	dblu			invgisu				att		100	150	mana		20	20	fire-min		10	10	fire-max		20	40	dmg%		80	100	oskill	Holy Fire	6	6																										0
Blacktongue	36	0	1		1	1	25	26	bsw	Bastard Sword		5	5000	lgrn			invbswu				dmg-pois	100	300	300	att		50	50	res-pois		50	50	dmg%		100	100	hp		-30	-30	dmg-norm		10	20																										0
Ripsaw	37	0	1		1	1	25	26	flb	Flamberge		5	5000	cblu	cblu						openwounds		100	100	dmg-max		50	50	dmg%		150	150	lifesteal		10	10	manasteal		6	6	regen		-30	-30																										0
The Patriarch	38	0	1		1	1	25	35	gsd	Great Sword		5	5000	cred			invgsdu				red-dmg		5	5	red-mag		5	5	stupidity		1	1	gold%		100	100	dmg%		100	150	str		10	10	mag%		50	50																						0
Gull	39	0	1		1	1	1	4	dgr	Dagger		5	5000	lgry	lgry						dmg-min		10	10	dmg-max		15	15	mag%		100	100	mana		-30	-30							0	0																										0
The Diggler	40	0	1		1	1	1	11	dir	Dirk		5	5000	dgry	dgry						dex		10	10	dmg%		50	50	swing3		30	30	res-cold		25	25	res-fire		25	25	ignore-ac		1	1	skill	Poison Dagger	3	3																						0
The Jade Tan Do	41	0	1		1	1	17	25	kri	Kris		5	5000	oran			invkrsu				att		100	150	nofreeze		1	1	dmg-pois	100	500	500	res-pois		95	95	res-pois-max		10	10	dmg%		80	80																										0
Irices Shard	42	0	1		1	1	25	25	bld	Blade		5	5000	dblu	dblu						cast3		50	50	mana		50	50	att		55	55	res-all		10	10																																		0
The Dragon Chang	43	0	1		1	1	1	8	spr	Spear		5	5000	dpur	dpur						att		35	35	dmg-min		10	10	light		2	2	dmg-undead		100	100	dmg-fire		5	10																														0
Razortine	44	0	1		1	1	1	12	tri	Trident		5	5000	oran			invtriu				slow		10	10	reduce-ac		50	50	str		15	15	dex		8	8	swing2		30	30	dmg%		50	50																										0
Bloodthief	45	0	1		1	1	12	17	brn	Brandistock		5	5000	whit	whit						openwounds		35	35	str		10	10	lifesteal		10	10	hp		30	30	dmg%		100	100	regen		-10	-10																										0
Lance of Yaggai	46	0	1		1	1	17	22	spt	Spetum		5	5000	lred	lred						aura	Thorns	5	5	dmg-ltng		1	100	res-all		15	15	swing2		40	40	dmg%		50	50																														0
The Tannr Gorerod	47	0	1		1	1	25	27	pik	Pike		5	5000	lgry	lgry						dmg-fire		25	60	res-fire-max		10	10	hp		30	30	att		60	60	light		3	3	res-fire		15	15	dmg%		100	100																						0
Dimoaks Hew	48	0	1		1	1	1	8	bar	Bardiche		5	5000	blac	blac						dex		15	15	dmg%		100	100	swing2		20	20	ac		-10	-10	light		-1	-1																														0
Steelgoad	49	0	1		1	1	12	14	vou	Voulge		5	5000	cgrn	cgrn						openwounds		20	20	deadly		30	30	att		30	30	res-all		10	10	dmg%		80	100																														0
Soul Harvest	50	0	1		1	1	17	19	scy	Scythe		5	5000	dgry			invscyu				openwounds		30	30	att		45	45	res-all		20	20	dmg%		120	120	manasteal		10	10	enr		5	5	nec		3	3																						0
The Battlebranch	51	0	1		1	1	25	25	pax	Poleaxe		5	5000	lblu	lblu						swing3		30	30	dex		10	10	dmg%		80	100	att		50	100	lifesteal		7	7																														0
Woestave	52	0	1		1	1	25	28	hal	Halberd		5	5000	dblu	dblu						move1		-10	-10	openwounds		50	50	stupidity		3	3	dmg-ac		-50	-50	freeze		1	1	light		-3	-3	dmg%		100	100																						0
The Grim Reaper	53	0	1		1	1	25	29	wsc	War Scythe		5	5000	lpur	lpur						deadly		100	100	openwounds		50	50	lifesteal		5	5	dmg%		100	100	dmg-max		25	25	hp		-50	-50																										0
Bane Ash	54	0	1		1	1	1	5	sst	Short Staff		5	5000	lgrn	lgrn						extra_firebolts		2	2	res-fire		50	50	mana		30	30	cast1		20	20	skill	Fire Bolt	5	5	skill	Warmth	2	2																										0
Serpent Lord	55	0	1		1	1	12	12	lst	Long Staff		5	5000	cgrn	cgrn						dmg-pois	75	100	100	res-pois		50	50	light		-1	-1	mana		30	30	dmg%		30	40	manasteal		10	10	reduce-ac		50	50																						0
Lazarus Spire	56	0	1		1	1	17	25	cst	Gnarled Staff		5	5000	lgry			invcstu				res-ltng		75	75	cast1		20	20	enr		15	15	skill	Chain Lightning	2	2	skill	Lightning	2	2	pierce-ltng		20	20	regen-mana		50	50																						0
The Salamander	57	0	1		1	1	25	40	bst	Battle Staff		5	5000	dred	dred						pierce-fire		10	10	res-fire		50	50	skill	Blaze	3	3	skill	Fire Wall	3	3	fireskill		2	2																														0
The Iron Jang Bong	58	0	1		1	1	25	28	wst	War Staff		5	5000	dyel	dyel						ac		50	50	cast3		30	30	swing1		30	30	dmg%		150	150	att		150	150	oskill	IronGolem	5	5	oskill	Golem Mastery	5	5																						0
Pluckeye	59	0	1		1	1	1	7	sbw	Short Bow		5	5000	cblu	cblu						att		28	28	dmg-mag		10	10	hp		10	10	light		2	2	mana-kill		2	2	heal-kill		2	2	extra_magic_arrows		2	2																						0
Witherstring	60	0	1		1	1	12	13	hbw	Hunter's Bow		5	5000	lred	lred						swing3		30	30	dmg-min		3	5	dmg-max		5	10	att		50	50	dmg%		40	50	hit-skill	Amplify Damage	5	5																										0
Rimeraven	61	0	1		1	1	12	15	lbw	Long Bow		5	5000	dred	dred						att		50	50	dex		5	5	oskill	Exploding Arrow	3	3	str		5	5	dmg%		100	100																														0
Piercerib	62	0	1		1	1	17	20	cbw	Composite Bow		5	5000	cred			invcbwu				res-all		10	10	deadly		30	30	att		60	60	dmg-undead		100	100	dmg%		80	80	swing2		50	50	dmg-norm		10	15																						0
Pullspite	63	0	1		1	1	25	25	sbb	Short Battle Bow		5	5000	lgrn			invsbbu				dmg-ltng		1	100	str		10	10	att		50	50	pierce		25	25	res-ltng		25	25	dmg%		80	120	aura	Holy Shock	5	5																						0
Wizendraw	64	0	1		1	1	25	26	lbb	Long Battle Bow		5	5000	dgrn	dgrn						hit-skill	Attract	5	1	mana		30	30	swing2		20	20	res-all		15	15	att		50	100	dmg%		100	100	enr		15	15	extra_magic_arrows		2	2																		0
Hellclap	65	0	1		1	1	25	27	swb	Short War Bow		5	5000	cgrn			invswbu				swing1		10	10	fire-min		15	15	fire-max		30	50	att		50	75	res-fire		40	40	dex		12	12	dmg%		80	120	fireskill		2	2																		0
Blastbark	66	0	1		1	1	25	28	lwb	Long War Bow		5	5000	lyel	lyel						dmg%		100	130	str		15	15	ama		1	1	manasteal		5	5	skill	Exploding Arrow	2	2	pierce-fire		10	10																										0
Leadcrow	67	0	1		1	1	1	9	lxb	Light Crossbow		5	5000	dyel			invlxbu				dex		10	10	hp		10	10	dmg%		100	100	res-pois		30	30	deadly		25	25	att		40	40	manasteal		5	5																						0
Ichorsting	68	0	1		1	1	12	18	mxb	Crossbow		5	5000	lgld			invmxbu				dmg-pois	75	250	250	dex		20	20	pierce		50	50	att		50	50	dmg%		50	80	swing2		20	20																										0
Hellcast	69	0	1		1	1	25	27	hxb	Heavy Crossbow		5	5000	dgld			invhxbu				oskill	Exploding Arrow	5	5	res-fire-max		10	10	res-cold		-20	-20	att		70	70	swing2		20	20	dmg%		100	120	dmg-fire		20	50																						0
Doomspittle	70	0	1		1	1	25	28	rxb	Repeating Crossbow		5	5000	lpur			invrxbu				ama		1	1	pierce		35	35	swing3		30	30	hp		15	15	dmg-norm		20	50																														0
War Bonnet	71	0	1		1	1	1	3	cap	Cap		5	5000	dpur			invcapu				hp		15	15	att		30	30	dmg%		50	50	mana		25	25	ac		25	25																														0
Tarnhelm	72	0	1		1	1	12	15	skp	Skull Cap		5	5000	oran	oran						gold%		75	75	mag%		75	75	allskills		1	1																																						0
Coif of Glory	73	0	1		1	1	12	14	hlm	Helm		5	5000	whit			invhlmu				gold%		100	100	dmg-norm		5	10	swing1		10	10	move1		10	10																																		0
Duskdeep	74	0	1		1	1	12	17	fhl	Full Helm		5	5000	lgry			invfhlu				light		-2	-2	res-all		15	15	red-dmg		7	7	dmg-max		20	20	ac		10	20	ac%		30	50																										0
Wormskull	75	0	1		1	1	17	21	bhm	Bone Helm		5	5000	lgrn			invbhmu				nec		1	1	extra-pois		15	15	mana		15	15	res-pois		15	15																																		0
Howltusk	76	0	1		1	1	25	25	ghm	Great Helm		5	5000	dgry	dgry						red-mag		5	5	thorns		50	50	ac%		80	80	dmg-to-mana		35	35	skilltab	14	2	2																														0
Undead Crown	77	0	1		1	1	25	29	crn	Crown		5	5000	blac	blac						skill	Skeleton Mastery	3	3	skill	Raise Skeleton	3	3	skill	Raise Skeletal Mage	3	3	half-freeze		1	1	ease		50	50																														0
The Face of Horror	78	0	1		1	1	12	20	msk	Mask		5	5000	lblu	lblu						howl		32	32	str		20	20	res-all		10	10	dmg-undead		100	100	ac		25	25																														0
Greyform	79	0	1		1	1	1	7	qui	Quilted Armor		5	5000	lgry	lgry						red-mag		3	3	res-cold		20	20	res-fire		20	20	dex		10	10	lifesteal		5	5	ac		20	20																										0
Blinkbats Form	80	0	1		1	1	1	12	lea	Leather Armor		5	5000	dred	dred						move2		15	15	ac		50	50	fire-min		5	10	fire-max		10	15	balance2		40	40																														0
The Centurion	81	0	1		1	1	12	14	hla	Hard Leather		5	5000	cred	cred						ac		30	30	att		50	50	red-dmg		2	2	hp		15	15	mana		15	15	stam		15	15	regen		10	10	stamdrain		25	25																		0
Twitchthroe	82	0	1		1	1	12	16	stu	Studded Leather		5	5000	lgrn	lgrn						swing2		20	20	dex		10	10	block		25	25	ac		25	25	str		10	10	balance2		20	20																										0
Darkglow	83	0	1		1	1	25	35	rng	Ring Mail		5	5000	dgrn	dgrn						att		50	50	res-all-max		5	5	light		-4	-4	ac		50	50	ac%		50	50																														0
Hawkmail	84	0	1		1	1	12	15	scl	Scale Mail		5	5000	cgrn	cgrn						ac%		100	100	res-cold-max		10	10	res-ltng		-15	-15	nofreeze		1	1	move2		20	20																														0
Sparking Mail	85	0	1		1	1	12	17	chn	Chain Mail		5	5000	lyel	lyel						ac%		100	100	dmg-ltng		1	30	aura	Holy Shock	5	5	res-ltng		30	30	light		4	4																														0
Venomsward	86	0	1		1	1	17	20	brs	Breast Plate		5	5000	dyel	dyel						res-pois-max		10	10	res-pois-len		50	50	res-pois		90	90	light		2	2	ac%		100	100	res-fire		-30	-30																										0
Iceblink	87	0	1		1	1	17	22	spl	Splint Mail		5	5000	lgld	lgld						freeze		1	1	res-cold		30	30	red-mag		3	3	ac%		70	80	oskill	Blink	1	1																														0
Boneflesh	88	0	1		1	1	25	30	plt	Plate Mail		5	5000	dgld	dgld						skill	Golem Mastery	2	2	skill	BloodGolem	2	2	skill	Clay Golem	2	2	extra_clay_golems		1	2	ac%		100	100																														0
Rockfleece	89	0	1		1	1	25	32	fld	Field Plate		5	5000	dgry	dgry						dmg%		50	50	ac%		100	130	red-dmg%		10	10	red-dmg		5	5	str		15	15																														0
Rattlecage	90	0	1		1	1	25	35	gth	Gothic Plate		5	5000	dpur	dpur						hit-skill	Amplify Damage	5	10	att		50	50	deadly		25	25	ac		200	200																																		0
Goldskin	91	0	1		1	1	25	35	ful	Full Plate Mail		5	5000	oran			invfulu				ac%		120	150	res-all		35	35	thorns		100	100	light		4	4	gold%		200	200																														0
Victors Silk	92	0	1		1	1	30	40	aar	Ancient Armor		5	5000	dblu			invaaru				mana		100	100	allskills		1	2	light		2	2	ac%		150	150	gold%		100	100																														0
Heavenly Garb	93	0	1		1	1	28	29	ltp	Light Plate		5	5000	cblu	cblu						ac%		100	100	res-all		25	25	regen-mana		25	25	enr		15	15	dmg-undead		50	50	att-undead		100	100	aura	Sanctuary	5	5																						0
Pelta Lunata	94	0	1		1	1	1	1	buc	Buckler		5	5000	whit			invbucu				ac		30	30	vit		10	10	str		2	2	enr		10	10	ac%		30	40	block		20	20	block2		40	40																						0
Umbral Disk	95	0	1		1	1	1	9	sml	Small Shield		5	5000	lgry			invsmlu				stupidity		1	1	dex		10	10	ac		30	30	hp		20	20	light		-2	-2	ac%		40	50	block		30	30																						0
Stormguild	96	0	1		1	1	12	13	lrg	Large Shield		5	5000	dgry			invlrgu				red-mag		2	2	res-ltng		25	25	ac		30	30	dmg-ltng		1	25	ac%		50	60	block		30	30	aura	Holy Shock	3	3																						0
Wall of the Eyeless	97	0	1		1	1	12	20	bsh	Bone Shield		5	5000	lgld			invbshu				mana-kill		5	5	manasteal		5	5	cast2		20	20	res-pois		20	20	ac%		30	40	ac		25	25																										0
Swordback Hold	98	0	1		1	1	12	15	spk	Spiked Shield		5	5000	lred			invspku				thorns		50	50	openwounds		50	50	bloody		3	5	aura	Thorns	5	5																																		0
Steelclash	99	0	1		1	1	12	17	kit	Kite Shield		5	5000	blac			invkitu				block		25	25	pal		1	1	red-dmg		3	3	light		1	1	ac%		60	100	block2		20	20	res-all		15	15	ac		20	20																		0
Bverrit Keep	100	0	1		1	1	12	19	tow	Tower Shield		5	5000	lblu			invtowu				ac		30	30	res-fire		75	75	str		5	5	red-mag		5	5	ac%		80	120	block		10	10	dur		80	100																						0
The Ward	101	0	1		1	1	25	26	gts	Gothic Shield		5	5000	dblu			invgtsu				ac		40	40	red-mag		2	2	str		10	10	block		10	10	ac%		100	100	res-all		30	50	ease		-25	-25																						0
The Hand of Broc	102	0	1		1	1	1	5	lgl	Gloves		5	5000	cblu	cblu						manasteal		3	3	lifesteal		3	3	res-pois		10	10	mana		20	20	ac		10	10	ac%		10	20																										0
Bloodfist	103	0	1		1	1	1	9	vgl	Heavy Gloves		5	5000	oran	oran						dmg-norm		5	10	hp		40	40	balance2		30	30	ac		10	10	ac%		10	20	swing2		10	10																										0
Chance Guards	104	0	1		1	1	10	15	mgl	Bracers		5	5000	lred	lred						gold%		200	200	mag%		50	50	att		25	25	ac		15	15	light		1	1	ac%		20	30																										0
Magefist	105	0	1		1	1	25	25	tgl	Light Gauntlets		5	5000	lgry	lgry						cast3		20	20	regen-mana		25	25	fireskill		1	1	dmg-fire		10	25	ac		10	10	ac%		20	30																										0
Frostburn	106	0	1		1	1	25	29	hgl	Gauntlets		5	5000	dred	dred						ac		30	30	dmg%		15	15	mana%		40	40	dmg-cold	50	10	20	ac%		10	20	coldskill		1	1																										0
Hotspur	107	0	1		1	1	1	5	lbt	boots		5	5000	cred	cred						res-fire-max		5	5	hp		15	15	dmg-fire		5	10	ac		10	10	res-fire		50	50	ac%		10	20	move1		15	15																						0
Gorefoot	108	0	1		1	1	1	9	vbt	Heavy Boots		5	5000	dblu	dblu						bloody		3	5	move2		20	20	manasteal		2	2	thorns		15	15	ac		12	12	ac%		20	30	deadly		15	15																						0
Treads of Cthon	109	0	1		1	1	12	15	mbt	Chain Boots		5	5000	lgrn	lgrn						move2		30	30	ac-miss		50	50	stamdrain		50	50	hp		10	10	ac		12	12	ac%		30	40																										0
Goblin Toe	110	0	1		1	1	17	22	tbt	Light Plated Boots		5	5000	dgry	dgry						dmg-norm		15	25	red-dmg		4	4	red-mag		4	4	ac		15	15	light		-1	-1	ac%		50	60																										0
Tearhaunch	111	0	1		1	1	25	29	hbt	Plate Boots		5	5000	dgrn	dgrn						ac		35	35	str		5	5	dex		5	5	move2		20	20	res-all		15	15	ac%		60	80	aura	Vigor	5	5																						0
Lenyms Cord	112	0	1		1	1	1	7	lbl	Sash		5	5000	cgrn	cgrn						mana		15	15	regen-mana		30	30	res-all		15	15																																						0
Snakecord	113	0	1		1	1	12	12	vbl	Light Belt		5	5000	blac	blac						dmg-pois	75	125	125	res-pois		25	25	ac		10	10	ac%		20	30	regen		5	5	res-pois-len		50	50																										0
Nightsmoke	114	0	1		1	1	12	20	mbl	Belt		5	5000	lyel	lyel						res-all		10	10	dmg-to-mana		50	50	mana		20	20	red-dmg		2	2	ac		15	15	ac%		30	50																										0
Goldwrap	115	0	1		1	1	25	27	tbl	Heavy Belt		5	5000	lblu	lblu						mag%		50	50	light		1	1	ac		25	25	swing2		15	15	ac%		40	60	gold%		100	100																										0
Bladebuckle	116	0	1		1	1	30	35	hbl	Girdle		5	5000	dyel	dyel						thorns		50	50	dmg%		25	25	red-dmg		3	3	str		5	5	dex		10	10	ac%		80	100	balance2		30	30																						0
Nokozan Relic	117	0	1		7	1	1	10	amu	Amulet		5	5000	lgld							dmg-fire		15	25	res-fire-max		5	5	res-fire		50	50	light		3	3	balance2		20	20																														0
The Eye of Etlich	118	0	1		7	1	12	15	amu	Amulet		5	5000	dgld							ac-miss		10	40	light		1	1	allskills		1	1	lifesteal		3	7	dmg-cold	50	5	10																														0
The Mahim-Oak Curio	119	0	1		7	1	25	25	amu	Amulet		5	5000	lpur							all-stats		10	10	ac		10	10	att%		10	10	res-all		10	10	ac%		10	10	cast1		10	10	swing1		10	10																						0
Nagelring	120	0	1		15	1	1	7	rin	Ring		5	5000	dpur							red-mag		3	3	thorns		25	25	att		50	75	mag%		30	50	light		-1	-1																														0
Manald Heal	121	0	1		15	1	12	15	rin	Ring		5	5000	oran							manasteal		4	7	regen		5	8	hp		20	20	regen-mana		20	20	lifesteal		4	7																														0
The Stone of Jordan	122	0	1		1	1	47	29	rin	Ring		5	5000	whit							mana		100	100	mana%		50	50	dmg-ltng		1	100	allskills		1	2																																	1	0
Amulet of the Viper	123	0	1		1	1	0	0	vip	Amulet		5	5000	lgry							mana		100	100	res-pois		100	100	hp		100	100																																						0
Staff of Kings	124	0	1		1	1	0	0	msf	Staff		5	5000	dgry							res-all		50	50	swing3		50	50	cast1		50	50																																						0
Horadric Staff	125	0	1		1	1	0	0	hst	Staff		5	5000	blac							mana		100	100	res-pois		100	100	hp		100	100	res-all		50	50	swing3		50	50	cast1		50	50																										0
Hell Forge Hammer	126	0	1		1	1	0	0	hfh	Hammer		5	5000	cred							fire-min		50	50	fire-max		150	150	res-fire		100	100	dmg%		150	150																																		0
KhalimFlail	127	0	1		1	1	0	0	qf1	Flail		5	5000	dblu							ltng-min		1	1	ltng-max		300	300	swing3		50	50	att		150	150	dmg%		200	200																														0
SuperKhalimFlail	128	0	1		1	1	0	0	qf2	Flail		5	5000	dblu							ltng-min		1	1	ltng-max		300	300	swing3		50	50	att		150	150	manasteal		6	6	lifesteal		6	6	dmg%		200	200																						0
Expansion																																																																						0
Coldkill	129	100	1		1	1	40	40	9ha	Hatchet		5	5000	cblu	cblu		invhaxu				dmg-cold	50	50	100	res-cold		15	15	res-cold-max		5	5	swing3		30	30	aura	Holy Freeze	5	5	kill-skill	Blizzard	10	15	dmg%		150	200																						0
Butcher's Pupil	130	100	1		1	1	40	45	9ax	Cleaver		5	5000	cblu	cblu		invaxeu				deadly		35	35	openwounds		25	25	dmg%		180	220	swing3		30	30	dmg-norm		30	50																														0
Islestrike	131	100	1		1	1	40	43	92a	Twin Axe		5	5000								dru		2	2	all-stats		10	10	ac-miss		50	50	deadly		25	25	dmg%		200	220	skill	Fury	2	3	skill	Maul	2	3																						0
Pompe's Wrath	132	100	1		1	1	40	45	9mp	Crowbill		5	5000	cred	cred		invmpiu				hit-skill	Volcano	12	15	pierce-fire		10	10	dmg-fire		50	200	dmg%		180	220	swing1		20	20																														0
Guardian Naga	133	100	1		1	1	43	48	9wa	Naga		5	5000								hit-skill	Poison Nova	5	25	thorns		100	100	res-pois		30	30	dmg%		200	233	dmg-pois	100	500	500	dmg-max		50	50																										0
Warlord's Trust	134	100	1		1	1	43	43	9la	Military Axe	  	5	5000	whit	whit						ac		75	75	regen		20	20	vit/lvl	4			res-all		10	10	dmg%		175	225	dmg-min		10	30	dmg-max		20	50																						0
